age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,Class
27,0,0,0,4,0.0,1
21,0,2,1,2,-1.0,1
32,0,0,1,22,0.0,1
26,0,0,0,2,-38.0,1
24,0,0,0,1,0.0,1
28,0,0,0,14,-1.0,1
28,0,0,0,14,-1.0,1
32,0,0,0,1,-1.0,1
21,0,0,0,0,-1.0,1
21,0,0,0,0,-1.0,1
21,0,0,0,0,-1.0,1
21,0,0,0,0,-1.0,1
25,0,1,1,3,-1.0,1
48,1,0,0,25,-1.0,1
48,1,0,0,25,-1.0,1
22,0,0,1,1,28.0,1
22,0,0,1,1,28.0,1
22,0,0,1,1,28.0,1
22,0,0,1,1,28.0,1
22,0,0,1,1,28.0,1
22,0,0,1,1,28.0,1
52,1,0,0,9,-1.0,1
26,0,0,0,5,-1.0,1
26,0,0,0,5,-1.0,1
26,0,0,0,5,-1.0,1
26,0,0,0,5,-1.0,1
37,0,0,0,6,-1.0,1
37,0,0,0,6,-1.0,1
26,0,1,0,4,-1.0,1
26,0,1,0,4,-1.0,1
30,0,0,0,5,-1.0,1
25,0,0,0,0,-1.0,1
39,0,0,0,13,-1.0,1
39,0,0,0,13,-1.0,1
26,0,0,0,9,-1.0,1
26,0,0,0,9,-1.0,1
32,0,0,0,3,-1.0,1
26,0,0,0,4,-52.0,1
28,0,0,0,4,-1.0,1
21,0,0,0,2,-1.0,1
32,0,0,0,19,-1.0,1
32,0,0,0,19,-1.0,1
23,0,0,0,5,-45.0,1
32,0,0,0,14,-1.0,1
32,0,0,0,14,-1.0,1
32,0,0,0,14,-1.0,1
32,0,0,0,14,-1.0,1
32,0,0,0,14,-1.0,1
32,0,0,0,14,-1.0,1
22,1,1,0,6,-1.0,1
33,0,0,0,7,0.0,1
24,0,0,0,2,48.0,1
24,0,0,0,2,48.0,1
24,0,0,0,2,48.0,1
54,0,0,0,4,-1.0,1
22,0,0,0,2,-1.0,1
22,0,0,0,2,-1.0,1
22,0,0,0,2,-1.0,1
22,0,0,0,2,-1.0,1
22,0,0,0,2,-1.0,1
26,0,0,0,0,-1.0,1
26,0,0,0,0,-1.0,1
26,0,0,0,0,-1.0,1
21,0,0,0,1,-18.0,1
21,0,0,0,1,-18.0,1
23,0,0,0,2,-1.0,1
30,0,0,0,6,-1.0,1
30,0,0,0,6,-1.0,1
27,0,0,0,3,88.0,1
35,0,1,0,17,-1.0,1
35,0,1,0,17,-1.0,1
35,0,1,0,17,-1.0,1
20,1,0,1,1,-51.0,1
27,2,1,0,5,76.0,1
43,0,0,0,0,-1.0,1
21,0,0,0,0,-5.0,1
21,0,0,0,0,-5.0,1
21,0,0,0,0,-5.0,1
21,0,0,0,0,-5.0,1
21,0,0,0,0,-5.0,1
21,0,0,0,0,-5.0,1
47,0,0,0,1,-1.0,1
49,0,0,0,1,0.0,1
24,0,0,2,1,0.0,1
27,0,0,1,9,-1.0,1
23,0,0,0,1,0.0,1
23,0,0,0,1,0.0,1
29,0,0,0,7,-67.0,1
29,0,0,0,7,-67.0,1
23,0,0,0,3,-1.0,1
23,0,0,0,3,-1.0,1
33,0,0,0,4,-1.0,1
43,0,0,0,9,-1.0,1
43,0,0,0,9,-1.0,1
43,0,0,0,9,-1.0,1
25,0,1,0,11,-1.0,1
56,0,0,0,1,-60.0,1
25,0,0,0,7,0.0,1
25,0,0,0,7,0.0,1
27,0,0,0,3,-1.0,1
25,0,0,0,1,-1.0,1
25,0,0,0,1,-1.0,1
20,0,0,0,0,-1.0,1
32,0,0,0,4,-1.0,1
28,0,0,0,7,-1.0,1
28,0,0,0,7,-1.0,1
28,0,0,0,7,-1.0,1
28,0,0,0,7,-1.0,1
34,0,0,0,0,-1.0,1
20,0,8,1,8,-1.0,1
20,0,8,1,8,-1.0,1
20,0,8,1,8,-1.0,1
20,0,8,1,8,-1.0,1
42,0,0,0,0,31.0,1
24,1,1,0,8,-54.0,1
24,1,1,0,8,-54.0,1
24,1,1,0,8,-54.0,1
29,1,1,1,4,0.0,1
29,1,1,1,4,0.0,1
20,0,0,0,0,-1.0,1
26,0,0,0,5,-1.0,1
29,0,0,0,7,-1.0,1
51,0,0,0,7,-1.0,1
25,0,3,1,15,-1.0,1
43,0,0,0,4,0.0,1
22,0,0,0,1,-1.0,1
20,0,0,2,0,-1.0,1
20,0,0,2,0,-1.0,1
20,0,0,2,0,-1.0,1
37,0,0,0,0,-4.0,1
37,0,0,0,0,-4.0,1
38,0,0,0,14,-1.0,1
38,0,0,0,14,-1.0,1
38,0,0,0,14,-1.0,1
27,0,0,0,3,-1.0,1
22,0,0,0,3,-1.0,1
22,0,0,0,3,-1.0,1
22,0,0,0,3,-1.0,1
53,0,0,0,0,0.0,1
42,0,0,0,1,-1.0,1
39,0,0,0,1,-1.0,1
39,0,0,0,1,-1.0,1
43,0,0,0,1,-1.0,1
43,0,0,0,1,-1.0,1
22,0,0,0,0,-1.0,1
32,0,0,0,2,0.0,1
22,0,0,0,3,20.0,1
61,0,0,0,3,0.0,1
61,0,0,0,3,0.0,1
24,0,5,0,12,0.0,1
24,0,5,0,12,0.0,1
24,0,5,0,12,0.0,1
31,3,0,0,6,-1.0,1
21,0,0,0,0,-1.0,1
21,0,0,0,0,-1.0,1
54,0,0,0,14,-1.0,1
54,0,0,0,14,-1.0,1
25,0,0,1,5,-1.0,1
25,0,0,1,5,-1.0,1
25,0,0,0,8,-1.0,1
25,0,0,0,8,-1.0,1
20,0,2,1,3,-1.0,1
20,0,2,1,3,-1.0,1
21,0,0,0,5,-10.0,1
31,0,0,0,2,-1.0,1
33,0,0,0,7,-1.0,1
33,0,0,0,7,-1.0,1
36,0,0,0,1,30.0,1
28,0,0,0,4,0.0,1
28,0,0,0,4,0.0,1
34,0,0,0,2,-49.0,1
21,0,0,0,0,0.0,1
28,0,0,0,0,0.0,1
43,0,0,0,11,16.0,1
43,0,0,0,11,16.0,1
24,0,2,1,8,-1.0,1
45,0,0,0,8,-1.0,1
45,0,0,0,8,-1.0,1
32,0,0,0,1,-1.0,1
21,0,0,0,1,-1.0,1
32,1,3,0,24,-1.0,1
19,0,0,0,0,-1.0,1
25,0,0,0,4,-46.0,1
30,0,0,0,1,-1.0,1
30,0,0,0,1,-1.0,1
21,0,0,0,0,-2.0,1
21,0,0,0,0,-2.0,1
31,0,0,0,1,-1.0,1
51,0,0,0,0,0.0,1
51,0,0,0,0,0.0,1
26,0,0,0,7,-1.0,1
33,0,0,0,7,-1.0,1
33,0,0,0,7,-1.0,1
19,1,0,0,1,-12.0,1
27,0,0,0,0,-1.0,1
27,0,0,0,0,-1.0,1
30,1,0,0,5,-1.0,1
23,0,1,1,1,-1.0,1
23,0,1,1,1,-1.0,1
32,0,0,0,2,-27.0,1
34,0,0,1,3,-1.0,1
25,20,0,0,24,-1.0,1
21,0,0,0,3,34.0,1
21,0,0,0,3,34.0,1
29,0,1,0,13,0.0,1
26,0,0,0,9,-1.0,1
44,2,0,0,19,-17.0,1
24,0,0,0,11,-15.0,1
26,2,1,0,8,-85.0,1
26,2,1,0,8,-85.0,1
22,0,0,0,0,0.0,1
22,0,0,0,0,-1.0,1
23,0,0,0,0,0.0,1
35,0,0,0,7,-23.0,1
22,0,0,0,2,-1.0,1
22,0,0,0,2,-1.0,1
22,0,0,0,2,-1.0,1
24,0,0,0,2,-1.0,1
24,0,0,0,2,-1.0,1
24,0,0,0,2,-1.0,1
21,0,0,0,1,-1.0,1
21,0,0,0,1,-1.0,1
59,0,0,0,3,0.0,1
59,0,0,0,3,0.0,1
57,0,0,0,8,-1.0,1
38,0,0,0,0,-1.0,1
21,0,0,1,0,-1.0,1
24,0,0,0,1,-1.0,1
48,0,0,0,2,-1.0,1
48,0,0,0,2,-1.0,1
48,0,0,0,2,-1.0,1
37,0,0,0,0,-1.0,1
29,0,0,1,7,-1.0,1
21,0,0,0,0,-1.0,1
21,0,0,0,0,-1.0,1
21,0,0,0,0,-1.0,1
21,0,0,0,0,-1.0,1
22,0,0,2,5,-2.0,1
22,0,0,2,5,-2.0,1
22,0,0,2,5,-2.0,1
22,0,0,2,5,-2.0,1
22,0,0,2,0,-1.0,1
22,0,0,2,0,-1.0,1
35,0,0,0,1,0.0,1
22,0,0,0,3,-1.0,1
29,0,0,0,4,-1.0,1
29,0,0,0,4,-1.0,1
29,0,0,0,12,-1.0,1
29,0,0,0,12,-1.0,1
29,0,0,0,12,-1.0,1
29,0,0,0,12,-1.0,1
29,0,0,0,12,-1.0,1
30,0,0,0,3,-1.0,1
30,0,0,0,3,-1.0,1
21,1,0,0,1,81.0,1
21,1,0,0,1,81.0,1
21,1,0,0,1,81.0,1
39,0,0,0,3,-1.0,1
38,0,5,0,37,-1.0,1
20,1,0,0,1,-37.0,1
38,0,0,0,2,0.0,1
35,0,0,0,6,-10.0,1
35,0,0,0,6,-10.0,1
35,0,0,0,6,-10.0,1
52,0,0,0,1,1.0,1
21,0,0,0,0,-1.0,1
36,0,0,0,3,-1.0,1
27,0,0,0,25,18.0,1
21,0,1,0,1,0.0,1
37,0,0,0,1,-1.0,1
30,0,3,2,14,0.0,1
30,0,3,2,14,0.0,1
26,0,0,0,5,-1.0,1
28,0,0,0,1,-1.0,1
26,0,3,0,8,-1.0,1
25,0,0,0,0,0.0,1
20,0,0,1,0,-1.0,1
24,0,0,0,1,-1.0,1
40,0,0,0,0,-1.0,1
30,0,0,0,1,0.0,1
24,0,0,3,3,-1.0,1
35,0,0,0,10,0.0,1
24,0,1,3,4,-1.0,1
24,0,1,3,4,-1.0,1
26,0,0,0,4,0.0,1
26,0,0,0,4,0.0,1
41,0,0,0,12,-45.0,1
37,0,0,0,9,0.0,1
26,0,1,2,5,-1.0,1
26,0,1,2,5,-1.0,1
19,0,0,0,0,-1.0,1
42,0,0,0,7,-1.0,1
27,0,0,0,8,-1.0,1
27,0,0,0,8,-1.0,1
26,0,0,0,9,0.0,1
26,0,0,0,9,0.0,1
26,0,0,0,9,0.0,1
23,0,0,0,5,-1.0,1
21,0,0,0,0,-1.0,1
30,0,0,0,9,-1.0,1
30,0,0,0,9,-1.0,1
54,0,0,0,0,0.0,1
54,0,0,0,0,0.0,1
50,0,0,0,2,-1.0,1
26,1,0,0,3,-1.0,1
26,1,0,0,3,-1.0,1
26,1,0,0,3,-1.0,1
43,0,0,0,4,0.0,1
23,0,0,4,4,0.0,1
23,0,0,4,4,0.0,1
24,0,0,0,0,0.0,1
24,0,0,0,0,0.0,1
24,0,0,0,0,0.0,1
24,0,0,0,0,0.0,1
31,0,2,0,8,-1.0,1
31,0,2,0,8,-1.0,1
33,0,0,0,7,-1.0,1
44,0,0,0,6,-1.0,1
41,0,0,0,25,-1.0,1
41,0,0,0,25,-1.0,1
30,0,0,0,0,-1.0,1
19,0,0,0,0,-1.0,1
19,1,0,1,1,-40.0,1
19,1,0,1,1,-40.0,1
19,1,0,1,1,-40.0,1
19,1,0,1,1,-40.0,1
54,0,0,0,0,0.0,1
38,0,0,0,20,-1.0,1
38,0,0,0,20,-1.0,1
38,0,0,0,20,-1.0,1
38,0,0,0,20,-1.0,1
38,0,0,0,20,-1.0,1
38,0,0,0,20,-1.0,1
31,0,0,0,0,-2.0,1
35,0,0,0,2,0.0,1
30,0,0,0,9,-1.0,1
31,0,1,1,4,0.0,1
31,0,1,1,4,0.0,1
36,0,0,0,5,-1.0,1
34,0,0,0,0,-1.0,1
49,0,0,0,0,-1.0,1
21,0,0,0,0,16.0,1
22,0,1,1,3,0.0,1
28,0,1,0,14,29.0,1
28,0,1,0,14,29.0,1
23,0,0,0,0,-1.0,1
23,0,0,0,0,-1.0,1
23,0,0,0,0,-1.0,1
42,0,0,0,1,0.0,1
42,0,0,0,1,0.0,1
50,0,0,2,24,0.0,1
50,0,0,2,24,0.0,1
50,0,0,2,24,0.0,1
50,0,0,2,24,0.0,1
41,0,0,0,19,-1.0,1
40,0,0,0,8,-1.0,1
35,0,0,0,3,0.0,1
28,0,1,0,6,-1.0,1
28,0,1,0,6,-1.0,1
56,0,0,0,0,-2.0,1
56,0,0,0,0,-2.0,1
47,0,0,0,1,-1.0,1
20,0,0,0,0,-2.0,1
25,0,0,0,2,-1.0,1
25,0,0,0,2,-1.0,1
25,0,0,0,2,-1.0,1
25,0,0,0,2,-1.0,1
26,0,0,0,9,-1.0,1
26,0,0,0,9,-1.0,1
26,0,0,0,9,-1.0,1
26,0,0,0,9,-1.0,1
26,0,0,0,9,-1.0,1
26,0,0,0,9,-1.0,1
26,0,0,0,9,-1.0,1
26,0,0,0,9,-1.0,1
26,0,0,0,9,-1.0,1
26,0,0,0,9,-1.0,1
26,0,0,0,9,-1.0,1
29,0,0,0,1,82.0,1
34,0,0,0,1,-1.0,1
32,0,0,0,6,-1.0,1
25,0,0,0,1,-1.0,1
25,0,0,0,1,-1.0,1
24,0,0,0,1,-1.0,1
30,0,0,0,3,0.0,1
27,0,0,0,2,0.0,1
41,0,0,0,2,46.0,1
41,0,0,0,2,46.0,1
25,0,0,0,0,-1.0,1
31,0,0,0,9,0.0,1
31,0,0,0,9,0.0,1
31,0,0,0,9,0.0,1
31,0,0,0,3,-1.0,1
32,0,0,0,2,0.0,1
55,0,0,0,0,-1.0,1
28,1,0,0,7,-1.0,1
28,1,0,0,7,-1.0,1
28,1,0,0,7,-1.0,1
39,0,0,2,10,-1.0,1
32,0,1,3,12,-1.0,1
32,0,1,3,12,-1.0,1
35,0,0,0,2,0.0,1
25,0,0,0,0,0.0,1
25,0,0,0,0,0.0,1
21,0,0,0,0,-1.0,1
35,0,0,0,5,0.0,1
50,0,0,0,11,-31.0,1
57,0,0,0,23,-1.0,1
57,0,0,0,23,-1.0,1
29,0,1,0,2,-1.0,1
22,0,0,0,5,-91.0,1
22,0,0,0,5,-91.0,1
31,0,0,0,6,-39.0,1
31,0,0,0,6,-39.0,1
31,0,0,0,6,-39.0,1
31,0,0,0,6,-39.0,1
26,0,0,0,2,0.0,1
26,0,0,0,2,0.0,1
50,0,0,0,3,0.0,1
34,0,0,0,6,-1.0,1
34,0,0,0,6,-1.0,1
24,0,0,0,3,-1.0,1
24,0,0,0,3,-1.0,1
29,0,0,0,6,-3.0,1
29,0,0,0,6,-3.0,1
24,0,0,0,1,-1.0,1
24,1,0,1,9,-7.0,1
23,0,1,0,7,-1.0,1
49,0,0,0,1,-1.0,1
49,0,0,0,1,-1.0,1
50,0,0,0,0,0.0,1
28,0,2,0,21,-1.0,1
20,0,1,0,1,0.0,1
56,0,0,0,10,-1.0,1
38,0,0,0,19,-4.0,1
38,0,0,0,19,-4.0,1
38,0,0,0,19,-4.0,1
21,0,0,0,1,-1.0,1
45,0,0,0,13,-1.0,1
45,0,0,0,13,-1.0,1
23,0,0,1,0,0.0,1
28,0,0,0,2,-1.0,1
23,0,2,0,7,0.0,1
23,0,2,0,7,0.0,1
23,0,2,0,7,0.0,1
24,0,0,0,2,-1.0,1
26,1,3,0,24,-1.0,1
46,0,0,0,0,-1.0,1
46,0,0,0,0,-1.0,1
38,0,0,0,1,-1.0,1
38,0,0,0,1,-1.0,1
27,0,0,0,8,53.0,1
27,0,0,0,8,53.0,1
27,0,0,0,8,53.0,1
40,0,0,0,5,0.0,1
33,1,0,0,9,72.0,1
31,0,0,0,3,-1.0,1
31,0,0,0,3,-1.0,1
28,0,0,0,18,-1.0,1
28,0,0,0,18,-1.0,1
36,0,0,0,5,0.0,1
36,0,0,0,5,0.0,1
37,0,0,0,0,-1.0,1
23,0,0,0,0,-1.0,1
23,0,0,0,0,-1.0,1
44,0,0,0,0,-1.0,1
52,0,0,0,5,-1.0,1
58,0,0,0,1,-1.0,1
58,0,0,0,1,-1.0,1
19,0,0,0,1,-1.0,1
34,0,0,0,0,-1.0,1
23,0,0,0,2,16.0,1
23,0,0,0,2,16.0,1
21,0,0,0,1,-1.0,1
21,0,0,0,1,-1.0,1
21,0,0,0,1,-1.0,1
21,0,0,0,1,-1.0,1
21,0,0,0,1,-1.0,1
43,0,0,0,3,9.0,1
43,0,0,0,3,9.0,1
36,0,0,0,3,-1.0,1
34,1,0,0,21,-1.0,1
25,1,2,0,9,43.0,1
25,1,2,0,9,43.0,1
25,1,2,0,9,43.0,1
25,1,2,0,9,43.0,1
25,1,2,0,9,43.0,1
25,1,2,0,9,43.0,1
25,1,2,0,9,43.0,1
45,0,0,0,3,-1.0,1
24,0,4,0,14,-1.0,1
33,0,0,0,0,0.0,1
35,0,0,0,5,-1.0,1
35,0,0,0,5,-1.0,1
26,0,0,0,11,64.0,1
26,0,0,0,11,64.0,1
24,0,0,3,3,-1.0,1
37,0,0,0,11,-1.0,1
37,0,0,0,11,-1.0,1
37,0,0,0,4,0.0,1
37,0,0,0,4,0.0,1
37,0,0,0,4,0.0,1
33,0,0,0,2,-1.0,1
33,0,0,0,2,-1.0,1
35,0,0,0,6,-1.0,1
23,0,0,0,6,0.0,1
23,0,0,0,6,0.0,1
23,0,0,0,6,0.0,1
23,0,0,0,6,0.0,1
23,0,0,0,6,0.0,1
23,0,0,0,6,0.0,1
23,0,0,0,6,0.0,1
23,0,0,0,6,0.0,1
23,0,0,0,6,0.0,1
23,0,0,0,6,0.0,1
32,0,0,0,7,0.0,1
32,0,0,0,7,0.0,1
32,0,0,0,7,0.0,1
32,0,0,0,7,0.0,1
32,0,0,0,7,0.0,1
32,0,0,0,7,0.0,1
32,0,0,0,7,0.0,1
32,0,0,0,7,0.0,1
35,0,0,0,5,-1.0,1
47,0,0,0,5,0.0,1
63,0,0,0,10,0.0,1
63,0,0,0,10,0.0,1
38,0,1,0,16,-1.0,1
31,0,0,0,4,-1.0,1
31,0,0,0,4,-1.0,1
21,0,1,0,4,-1.0,1
39,0,2,0,22,-1.0,1
55,0,0,0,12,-69.0,1
36,2,0,0,4,-1.0,1
36,2,0,0,4,-1.0,1
35,0,0,0,3,-1.0,1
36,0,0,0,1,-1.0,1
36,0,0,0,1,-1.0,1
36,0,0,0,1,-1.0,1
42,0,0,0,10,-1.0,1
42,0,0,0,10,-1.0,1
40,0,0,0,0,-1.0,1
39,0,0,0,7,0.0,1
54,0,0,0,2,66.0,1
54,0,0,0,2,66.0,1
33,0,0,0,14,-1.0,1
32,0,0,0,1,-1.0,1
38,0,0,0,2,43.0,1
38,0,0,0,2,43.0,1
25,0,0,0,0,0.0,1
25,0,0,0,4,-1.0,1
30,0,0,0,6,-1.0,1
21,1,0,0,1,88.0,1
31,0,0,2,11,0.0,1
31,0,0,2,11,0.0,1
33,0,0,0,3,-16.0,1
23,0,0,0,2,-1.0,1
23,0,0,0,2,-1.0,1
23,0,0,0,2,-1.0,1
23,0,0,0,2,-1.0,1
33,0,0,0,0,-1.0,1
33,0,0,0,0,-1.0,1
33,0,0,0,0,-1.0,1
25,0,0,0,1,-1.0,1
27,0,0,0,4,-1.0,1
26,0,0,0,2,-1.0,1
30,0,0,0,10,0.0,1
30,0,0,0,10,0.0,1
55,0,0,0,5,-1.0,1
55,0,0,0,5,-1.0,1
55,0,0,0,5,-1.0,1
34,0,0,0,5,-1.0,1
46,0,0,0,1,-1.0,1
37,0,0,0,4,0.0,1
21,1,0,0,1,-1.0,1
22,0,0,0,0,-1.0,1
22,0,0,0,0,-1.0,1
22,0,0,0,0,-1.0,1
22,0,0,0,0,-1.0,1
44,0,0,0,0,-1.0,1
21,0,0,0,1,-1.0,1
21,0,0,0,1,-1.0,1
21,0,0,0,1,-1.0,1
21,0,0,0,1,-1.0,1
32,0,0,1,9,-1.0,1
32,0,0,1,9,-1.0,1
32,0,0,1,9,-1.0,1
38,0,0,0,9,-1.0,1
36,0,0,0,9,0.0,1
23,0,0,0,3,-1.0,1
51,0,0,0,0,-1.0,1
51,0,0,0,0,-1.0,1
51,0,0,0,0,-1.0,1
51,0,0,0,0,-1.0,1
35,0,0,0,3,-23.0,1
29,0,0,0,0,-1.0,1
26,0,0,0,4,0.0,1
55,0,0,0,0,-1.0,1
28,0,0,0,2,-1.0,1
28,0,0,0,2,-1.0,1
28,0,0,0,2,-1.0,1
24,0,0,0,1,-1.0,1
24,0,0,0,2,-1.0,1
25,0,0,0,5,-1.0,1
31,0,0,0,0,-1.0,1
29,0,0,0,4,-1.0,1
29,0,0,0,4,-1.0,1
29,0,0,0,4,-1.0,1
29,0,0,0,4,-1.0,1
23,0,0,2,3,-1.0,1
23,0,0,2,3,-1.0,1
21,0,0,0,0,0.0,1
58,0,0,0,4,0.0,1
23,0,0,0,0,-1.0,1
23,0,0,0,0,-1.0,1
23,0,0,0,0,-1.0,1
22,0,0,0,0,-1.0,1
43,0,0,0,0,0.0,1
43,0,0,0,0,0.0,1
29,0,0,0,7,-1.0,1
27,0,0,1,8,0.0,1
27,0,0,1,8,0.0,1
51,0,0,0,1,-2.0,1
51,0,0,0,1,-2.0,1
26,0,0,0,4,0.0,1
31,0,0,0,4,-1.0,1
31,0,0,0,4,-1.0,1
31,0,0,0,4,-1.0,1
31,0,0,0,4,-1.0,1
34,0,0,0,0,-1.0,1
34,0,0,0,0,-1.0,1
51,0,0,1,12,-1.0,1
25,0,0,0,0,-1.0,1
36,0,0,0,1,-1.0,1
21,0,1,0,1,-1.0,1
34,1,0,0,10,-1.0,1
24,0,0,0,15,-31.0,1
24,0,0,0,15,-31.0,1
24,0,0,0,15,-31.0,1
38,0,0,0,2,-1.0,1
24,0,0,0,0,-1.0,1
40,0,0,0,15,-1.0,1
26,0,0,0,4,-1.0,1
25,0,1,0,7,-1.0,1
25,0,1,0,7,-1.0,1
27,0,0,0,12,-1.0,1
27,0,0,0,12,-1.0,1
27,0,0,0,12,-1.0,1
47,0,0,0,0,-1.0,1
23,0,0,1,5,-1.0,1
23,0,0,1,5,-1.0,1
23,0,0,1,5,-1.0,1
23,0,0,1,5,-1.0,1
23,0,0,1,5,-1.0,1
23,0,0,1,5,-1.0,1
23,0,0,1,5,-1.0,1
23,0,0,1,5,-1.0,1
23,0,0,1,5,-1.0,1
23,0,0,1,5,-1.0,1
19,0,0,0,0,-1.0,1
32,0,0,0,0,-1.0,1
39,0,0,0,0,-3.0,1
24,0,0,0,2,0.0,1
24,0,0,0,2,0.0,1
23,0,0,0,0,-1.0,1
23,0,0,0,3,-1.0,1
21,0,0,0,0,-1.0,1
22,0,0,0,0,-1.0,1
31,0,0,0,0,0.0,1
30,0,1,0,9,-1.0,1
30,0,1,0,9,-1.0,1
27,0,0,0,0,-2.0,1
43,0,0,0,1,-1.0,1
23,0,0,0,1,-1.0,1
27,0,0,0,3,-1.0,1
23,0,1,0,4,0.0,1
32,0,0,0,0,0.0,1
33,0,0,0,16,0.0,1
28,0,0,0,2,3.0,1
26,0,1,0,6,-1.0,1
22,0,1,0,2,0.0,1
22,0,1,0,2,0.0,1
31,0,0,0,4,67.0,1
49,0,0,0,4,0.0,1
49,0,0,0,4,0.0,1
49,0,0,0,4,0.0,1
49,0,0,0,4,0.0,1
49,0,0,0,4,0.0,1
55,0,0,0,10,-1.0,1
55,0,0,0,10,-1.0,1
54,0,0,0,2,-29.0,1
54,0,0,0,2,-29.0,1
27,0,0,0,0,-1.0,1
36,0,0,0,4,85.0,1
36,0,0,0,4,85.0,1
40,0,0,0,4,-1.0,1
38,0,0,0,7,-1.0,1
