V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,Class
-397,-3718,-284,14,433,-472,-3044,2451,3918,182,-2401,3264,178,-1032,-517,-553,331,-879,-1256,1314,1
-83,1896,-1502,2705,-1089,2896,608,-656,-732,1076,776,3898,934,384,1054,1168,1695,367,-3,-1812,1
-705,-679,-567,-1027,-1098,-855,2,116,-1699,1035,3496,2341,-1667,-1218,-3977,1093,1728,321,1728,154,1
-666,-64,-2198,1247,-2712,3676,3062,-257,2735,2652,713,-1894,269,1156,4091,-684,-254,756,-1251,266,1
-166,228,-1927,-888,648,-46,-66,1407,-346,1518,-162,813,2454,-466,-117,95,1758,1037,442,1224,0
891,-25,713,235,1134,1393,119,-1145,512,2157,495,1267,559,-563,99,2289,1385,-353,811,-497,0
-2369,-559,2557,-258,1283,1237,116,1401,1712,1854,177,-708,433,203,2049,-2071,-1753,543,1005,-391,0
1398,68,-368,571,-1411,-19,1262,-3436,28,2435,909,144,2094,152,1028,648,-137,147,613,-348,0
1487,61,-1299,69,-456,-2042,1003,607,519,1096,-123,408,701,1831,1478,36,46,-464,516,1656,0
-445,1558,867,366,1828,891,1035,-44,484,556,221,-1544,-134,141,2913,-187,1186,1154,1226,1803,0
-384,-2204,113,939,-957,106,-1835,-746,3476,1535,1816,-464,2736,788,-894,-2323,1716,5273,-456,-179,1
2099,1502,223,985,1027,144,1535,1028,-1293,-1141,146,1318,105,-954,2369,257,1274,2046,435,145,0
1901,-187,-414,1718,564,341,-97,121,1978,292,-118,-976,1675,507,152,755,-99,464,736,-229,0
1517,-933,-2,-22,627,-794,1203,-386,639,1891,227,863,1148,1557,685,1769,2381,13,2546,-194,0
1771,1337,718,-37,3568,-1121,2821,1147,268,4125,292,75,268,-5535,-1636,-4326,-507,377,-1958,95,1
1217,883,576,747,652,603,564,1482,384,-1181,386,844,571,389,9,2209,-1414,298,434,2291,0
-1,883,366,1154,-72,-146,194,-515,1429,853,237,432,882,1574,-628,1341,1019,-23,107,1597,0
493,-66,55,-86,-351,-955,768,15,-441,895,-1177,-529,-1241,708,-369,-27,321,1002,734,299,0
1178,-1294,444,26,-1518,433,1313,818,-181,-448,-973,-164,426,-2806,-878,1066,1591,2378,231,633,0
3055,-212,-2597,2803,-183,3598,1455,-99,631,-156,-715,34,2024,1481,-289,-2115,-843,-78,1047,-1671,1
183,-1574,-619,2493,6032,-1269,951,647,-3344,-1269,-207,2041,1197,2775,-1252,1439,-23,-401,-1356,-1454,1
516,714,183,-204,41,1136,395,111,815,1702,2331,62,1338,-919,-627,415,364,2429,1778,671,0
4057,-4289,-3375,-327,242,-33,1174,106,-3212,702,2203,1818,1409,-734,103,-1629,-232,4992,-3215,533,1
1071,-1341,246,-1108,-638,1688,466,-882,-1868,-788,-946,1746,197,-277,1838,-371,47,297,86,-425,0
833,2338,-31,-75,434,-471,1064,-5,-148,144,-1406,877,-639,-342,374,76,-703,855,891,984,0
946,-1266,1044,-76,-4261,29,1002,321,-842,204,-2439,3058,43,-958,-873,1291,-3064,749,-242,204,1
1194,-1886,-347,178,-61,-99,684,316,-253,21,-1133,-122,853,-618,-2449,1202,-534,-2473,-46,4812,1
758,1412,462,356,-1444,-334,-767,456,1208,1891,-2523,-2174,616,2003,-2297,-1774,-21,-2862,118,-592,1
1711,-318,474,-483,1419,965,-1174,293,808,88,1474,306,776,559,1052,754,1534,-1512,-214,73,0
-46,747,391,2088,-955,-467,418,168,29,108,1336,1362,2068,202,-621,-786,1006,-254,2667,1813,0
-606,-398,-1027,-1104,1096,65,-356,1676,714,82,57,106,1866,3198,-2097,-2918,3962,-3948,-1267,-3116,1
503,751,-49,-311,953,724,426,2225,1298,3422,1926,225,1068,1275,1869,134,-1215,152,-1407,609,0
-1556,-1087,2446,681,1559,898,2257,1021,-27,32,338,1649,817,1346,-882,-534,224,1203,149,1149,0
2353,637,2,-551,773,524,1555,-602,-52,1331,-4,2098,-352,1729,58,1206,603,206,1788,-125,0
-998,1782,308,-2472,-29,-306,1199,1996,-56,-242,1037,511,743,552,1716,1254,124,-1048,-145,-237,0
237,-1381,186,1679,862,-8,836,1231,989,2858,-607,59,263,389,-776,569,-1593,936,-76,1304,0
-496,446,72,282,-489,563,-248,-451,163,-748,59,-164,-1096,1863,1171,736,-163,2204,91,-185,0
108,-3234,1868,-1689,-4033,-231,2924,3606,1259,-2374,216,2246,-572,-2175,4215,141,888,2063,1567,-1862,1
-23,298,-75,-5642,-1015,-3284,-775,2079,-1294,1504,3775,-2377,-2921,468,-2489,-2349,1492,-4,9,21,1
798,-2684,246,-497,1604,-2006,2021,-872,-1859,-4699,2396,-609,117,1412,-1884,2094,-2114,-439,2139,103,1
2378,714,1914,325,148,-1299,-1126,2511,2083,267,738,33,-765,442,1556,118,-336,1998,43,-748,0
445,967,901,-587,-889,4,1092,1415,-1461,511,-294,11,-459,-1406,1531,-58,656,-811,782,281,0
-359,2749,-1555,-1321,1395,-52,-2864,3463,654,3121,-155,-624,4675,756,-2567,4145,-1148,-395,1156,17,1
-566,2894,613,-1129,-257,-6,304,-975,-932,-2578,-1071,-1059,212,1118,163,-3057,1149,-2034,635,-2389,1
-2071,187,-2413,914,317,1617,1079,-2439,208,967,516,-1891,-608,-218,1294,954,-13,295,-758,1966,1
-858,-2413,841,-548,-972,1156,-1,38,-2814,218,-263,1125,-2398,-343,-1235,-2569,-1175,2267,143,217,1
-285,241,-1394,-106,178,3918,1713,1325,1566,802,874,-173,4196,411,-934,-808,379,-104,787,897,1
-404,-2072,1103,2438,-174,2029,-2314,323,-2166,5165,486,5504,3,2053,-1271,-1966,-2441,-124,569,728,1
-286,1557,1014,3846,-3116,1712,-616,2505,-93,74,5338,3691,1931,-471,1034,-11,33,-1941,-1974,2401,1
767,1504,-1555,-38,1843,-679,-693,-1616,2588,-1382,1578,188,-1806,-102,-1216,-11,-85,-77,-182,-159,1
44,589,-291,1113,782,-4,115,607,2198,-132,426,418,926,892,625,53,552,1519,231,651,0
-927,781,665,2568,-1093,343,741,46,687,-666,366,3053,662,893,42,599,336,116,1436,128,0
3164,-3467,-12,-1374,3474,-1282,-133,-1182,801,1374,-1247,14,-1424,1771,-119,-588,2791,83,-3392,-2902,1
1746,835,-788,1635,469,-353,1078,872,74,0,158,543,327,727,458,-619,712,218,-115,812,0
-1854,1225,-2469,-351,1193,-3922,-2314,3565,2946,1463,-1851,2214,-1199,-1152,-1815,1051,-2244,2871,-3462,1619,1
-357,-5794,3549,3556,-841,1888,-4486,-127,1583,-1594,57,-341,1036,713,-909,684,484,7,2875,-183,1
-239,-98,-118,-1703,3361,-1155,1142,68,149,377,434,-1348,-1532,-1989,-17,165,-2155,-2343,1526,909,1
1577,1824,-475,783,278,1923,-122,-198,-1019,513,223,788,2152,-676,1925,1206,1094,-1794,1324,851,0
-491,1578,898,1574,1253,-37,189,-942,988,-1454,706,1106,958,984,516,2607,-156,1079,226,415,0
-572,-672,-1616,1344,78,-1426,3082,-1615,-598,-82,-3909,-529,-213,4055,-4963,-582,-128,-836,-121,-381,1
-68,-1772,-457,2755,-798,404,-478,-916,-1716,3087,-2812,-179,186,336,584,247,-526,-973,2343,-3477,1
1281,2405,2324,-1759,-623,1128,-1648,2138,708,1218,1004,-322,-232,1279,945,-403,537,2682,131,1434,1
1072,-642,3086,-105,4,1323,1477,1193,153,1182,1027,-919,-2221,-2886,-2382,-144,731,168,905,138,1
1972,4081,-164,-928,17,74,319,722,-1588,-1405,-264,5526,-2438,1846,1154,-1158,188,531,2016,2873,1
-103,1038,-73,2961,-1543,36,1366,225,142,1142,606,1932,125,-1529,-1138,-78,1112,1058,916,-596,0
284,512,-2672,-1234,393,4772,-2808,268,-625,1198,307,-1972,-1291,-2369,-2707,348,1623,-4638,-136,562,1
293,-1253,3249,-1668,56,742,-3,-388,1071,1925,-262,-274,427,2029,1548,1298,-526,497,1129,1234,1
-891,-346,-322,1808,-215,204,-265,-546,739,3,-928,-25,-31,-795,2223,126,552,-125,547,59,0
609,-2868,272,973,-18,648,-46,2799,-2766,3265,-2667,-333,-78,1542,1407,1651,-385,262,-176,68,1
199,2293,1533,172,-1298,-1571,-342,-1131,1554,1345,302,-409,538,972,1,903,1382,285,353,484,0
2852,457,2225,323,1746,1597,-1865,1364,-1405,101,-414,302,1217,3166,299,1908,-283,-771,1266,6,0
1628,64,887,1049,905,559,801,998,171,418,-1479,134,705,1422,1233,524,1082,-8,13,7,0
116,845,283,-777,-59,-284,934,895,623,77,1396,431,552,442,397,127,-1334,51,801,2,0
-91,-109,363,-748,-486,-954,67,-1551,-1465,1815,146,-566,-504,1014,1226,-41,1213,2326,1674,865,0
2072,1543,1848,757,-427,1074,-183,195,1035,-474,2042,-992,1372,2035,1377,724,-97,619,-152,-412,0
886,888,155,288,155,477,74,-1436,284,2412,476,109,1208,462,-989,-54,-1365,-2124,2078,1332,0
-669,-8,1951,128,624,-1934,125,-3126,819,-17,-3,-2727,227,-2296,-112,211,-217,-1918,227,-1439,1
1143,618,1154,2162,868,-76,205,-64,639,-33,261,604,-707,39,124,551,73,701,184,803,0
529,62,-1009,-935,-64,-776,618,664,-36,917,2711,1586,857,-465,-692,1247,712,544,144,1173,0
-2409,2604,-1876,319,-1102,434,1689,-1902,1922,565,-1617,-259,723,1874,-3205,-587,-2514,3268,1442,-2704,1
514,1885,-584,198,-2843,-881,1004,-2508,-507,558,2587,887,-1171,-2446,-275,377,535,-1323,1042,-2276,1
218,-421,418,2137,1867,457,-43,2356,-407,-386,521,-76,1259,-426,-1393,1093,769,-116,264,272,0
4634,3873,2578,917,-1747,-462,2885,-1255,453,-1479,-1267,1459,1817,165,-2551,1411,3601,2383,1036,2221,1
813,851,1588,1394,161,-982,-221,-157,801,-128,1069,614,-1682,1366,69,697,755,1417,14,1065,0
-445,1043,-2733,681,-1482,1534,-1955,-1655,-1141,-19,-944,-808,142,711,-1176,-836,1048,1911,2548,251,1
1202,2124,569,-492,673,-758,381,-1876,-1397,31,939,2009,-287,-655,97,-652,255,1316,592,864,1
1728,1309,5132,-1601,-3468,-171,1334,233,1041,838,-17,-716,-2899,-1518,-8,-2373,-1293,-171,418,2728,1
201,1263,576,-997,-1184,1061,725,313,-136,-1108,1073,249,-55,492,-1702,-1107,-1799,958,1646,1681,0
-2186,-1747,443,-167,-769,-1754,-388,-264,965,952,-3159,-2042,-2412,-478,1932,-2129,518,-1325,1619,1328,1
1403,142,818,496,-314,734,175,126,-561,179,-149,1286,-436,8,1623,144,3153,77,2271,-247,0
1659,14,1004,-35,-649,-688,-283,646,2192,1702,87,782,1621,1401,747,387,88,86,74,1048,0
-92,413,1029,-2225,-3468,-1266,2521,303,1549,1796,1844,-2105,1647,1142,-1018,3216,275,-1602,-987,2801,1
173,1239,519,874,266,-593,1193,265,-643,-772,2,-675,1194,27,1239,684,-1381,105,1543,-338,0
753,-1102,1321,-1032,-84,1056,-261,564,673,-34,1346,1304,2254,862,-567,846,1398,-1046,741,-1,0
394,1673,-346,-186,1432,2049,-301,827,321,-1109,-871,589,635,-1154,-1164,1016,1197,61,388,687,0
61,753,106,1643,388,1886,1208,2195,1198,843,-572,525,37,722,-972,377,2655,176,786,-457,0
-731,-2339,-298,2207,759,-1368,-2805,734,155,228,-1512,-1309,424,-2715,3008,583,-1854,3557,2362,-1672,1
533,343,947,-711,53,795,295,-1623,368,1457,-47,1972,2013,545,92,-73,25,-412,-1367,-33,0
1648,112,1175,627,-1126,1035,-1321,-1063,371,696,1024,2734,-1563,606,-2184,2413,-2847,-51,445,-1891,1
5265,-3398,-1246,1023,-1164,3578,3212,1818,-773,-4541,913,339,531,-39,-2899,-1503,-1484,-86,3498,-4,1
-1628,408,679,948,-1061,665,-84,2976,105,2819,-632,43,-926,-2415,-2903,1621,465,213,-983,-3273,1
-1761,2389,2325,-269,-1225,969,177,3297,828,-1711,1499,-16,-163,-231,-175,-2504,-2134,-1675,36,684,1
-335,-146,489,593,145,685,-482,292,666,204,422,-943,-832,1256,108,2558,2267,-34,561,1974,0
-114,292,-15,907,-654,127,-887,174,1426,616,778,-46,-73,-514,-79,-95,-1238,-726,1913,227,0
108,1538,-1031,1823,938,-396,1295,697,-747,1736,933,-337,-285,258,-871,598,1673,143,-513,141,0
341,1484,-203,2864,272,297,894,-1896,-1185,2855,438,-1108,1136,-2696,4278,2288,-2724,-607,-2223,215,1
-326,-6742,-128,1774,-558,-2368,-509,465,181,-2378,486,-894,231,-3376,738,-1048,152,-336,-945,3798,1
-202,-664,1721,-136,6,1663,-185,1057,306,-474,-1196,1767,469,18,816,-1229,1557,1921,238,1267,0
3002,-26,758,2596,-2679,923,1919,692,-1283,-155,2144,-3225,306,-4442,-1003,-3336,699,736,-368,488,1
-2964,-1069,-926,942,825,-1349,998,-1209,257,-194,1697,-2892,335,-291,-1448,2063,1148,1239,-1772,121,1
-199,778,1038,1109,2039,2048,256,1552,74,121,279,-66,1023,274,424,-1571,462,-1875,887,993,0
-511,1381,-75,31,1061,13,1432,236,284,1403,704,933,3025,-1228,1787,723,747,2324,-382,1363,0
-82,1544,376,858,31,1381,-67,112,985,1318,503,387,2635,-641,-155,55,496,1533,467,-1248,0
728,1979,-554,-403,493,1379,-49,1481,1243,1291,2129,105,622,63,-822,2859,295,401,-1118,1545,0
-241,-2193,-2213,2078,-97,2205,-336,269,-3602,-551,2671,-216,-276,212,3909,1662,-1307,168,-327,-2342,1
167,-1024,899,592,895,-184,172,1591,216,-1654,1198,1679,566,136,-1482,518,-52,78,278,722,0
-1027,22,945,805,-641,-1253,-558,1097,399,1512,-112,749,179,1726,169,-518,-509,974,124,648,0
86,1882,53,598,2049,558,1404,782,27,933,1295,123,788,1721,1266,955,1667,454,1696,107,0
1124,1428,1284,783,1215,994,-2105,-193,1084,434,-73,2282,2788,-1066,2204,-841,537,-222,1173,-233,0
-1492,197,1557,752,-156,-608,1148,129,3102,81,14,-1298,-575,-654,2542,2499,-856,2689,1161,-894,1
194,2373,522,-613,-767,1785,894,635,103,-412,-62,697,-162,-118,134,-73,-648,195,-652,1188,0
-421,-323,31,-1958,155,3172,865,-458,989,-578,-1724,-113,-132,1217,315,2164,-274,2887,1396,-1116,1
921,189,462,474,116,809,-1238,18,-4095,-1296,-3248,1652,5545,-285,1478,-1902,1844,1192,-1322,-879,1
62,-4045,39,1204,-277,-625,-2433,-1926,2806,416,1502,2696,-1119,-1585,571,-3302,-1594,-2875,-522,1044,1
527,-536,-326,-2433,-1521,-49,-78,-5907,1814,-3218,218,1048,2292,87,3558,-769,-3267,-1542,-2373,-617,1
755,-3,2358,1951,-851,-1194,3483,-2252,-3766,-2336,327,-2673,2791,-1607,-295,-1266,-984,3689,-743,-354,1
-545,162,-268,518,1139,1496,2,397,-466,767,303,1532,-723,-708,-1337,21,-539,1017,-628,-218,0
191,2756,-193,-2396,-1283,15,-1484,243,2231,3145,162,-2332,1804,6493,1785,-1438,2914,-974,-5906,1655,1
