vTemperature,vHumidity,vLight,vCO2,vHumidityRatio,Class
20.426666666666698,23.823333333333302,0.0,473.0,0.00353156169479861,0
20.865,25.575,0.0,578.25,0.00389733036200245,0
23.2,25.7225,547.0,899.75,0.0045241945088667,1
22.29,24.912,0.0,778.4,0.00414384601663705,0
20.718000000000004,22.52,0.0,457.4,0.00339815307635992,0
20.89,24.89,0.0,547.75,0.0037981812511967204,0
22.79,27.2,444.0,1018.0,0.0046678605840467895,1
20.7,24.6,0.0,474.75,0.00370974784825709,0
20.79,25.0,0.0,532.0,0.00379151999106046,0
21.2,26.89,0.0,692.333333333333,0.00418487560482166,0
20.29,22.7,0.0,436.25,0.00333570528717845,0
20.7225,22.4725,0.0,460.25,0.00339189173462569,0
20.79,24.963333333333303,0.0,518.333333333333,0.00378592524758721,0
20.718000000000004,22.434,0.0,462.0,0.00338510549082456,0
20.6,22.29,0.0,447.666666666667,0.00333875873669441,0
22.7,31.1,442.5,1369.75,0.0053135653993026,1
20.625,22.245,0.0,451.75,0.00333714932632965,0
23.2,26.0,651.666666666667,997.25,0.00457336138571879,1
20.445,22.34,0.0,434.25,0.00331427163328817,0
22.7,31.2,433.0,1352.0,0.0053307972477025,1
22.15,24.7225,0.0,745.25,0.00407697982248635,0
22.58,26.81,644.6,1031.2,0.0045417630458670704,1
20.5,22.29,0.0,441.333333333333,0.0033181185303638398,0
20.5,22.356666666666698,0.0,433.333333333333,0.00332809571766905,0
20.7225,22.55,0.0,460.5,0.0034036532240966397,0
20.29,22.7,0.0,434.25,0.00333570528717845,0
20.7,22.5,0.0,459.333333333333,0.00339133538795165,0
20.675,25.125,0.0,500.0,0.00378353340905175,0
22.6,30.1,415.5,1211.5,0.00510993331507665,1
22.79,31.1142857142857,441.28571428571405,1359.5,0.00534537386092276,1
20.6,22.2,0.0,446.0,0.00332520581189891,0
21.1833333333333,25.198333333333302,454.666666666667,754.333333333333,0.00391591015445099,1
20.7,25.1,0.0,510.0,0.00378560813415773,0
20.7,24.5,0.0,466.25,0.0036945779980858896,0
23.718000000000004,26.1,745.0,1123.4,0.00473790584115977,1
20.29,22.6,0.0,434.5,0.00332093209327951,0
21.815,24.4175,0.0,697.25,0.00394438928261232,0
20.39,22.39,0.0,430.0,0.00331040775412912,0
20.7,24.6,0.0,475.666666666667,0.00370974784825709,0
20.89,22.956,0.0,488.0,0.00350139405835438,0
22.6,30.55,419.0,1273.33333333333,0.00518696473257251,1
22.79,31.0,444.0,1356.33333333333,0.0053255716900577205,1
21.5,28.033333333333303,0.0,832.666666666667,0.00444564070446765,0
21.29,27.79,0.0,806.0,0.00435003631085442,0
21.15,24.9175,449.333333333333,750.333333333333,0.00386403159400571,1
20.7,24.79,0.0,480.6,0.0037385725901998897,0
20.745,22.34,0.0,451.5,0.0033764859040430603,0
20.55,22.245,0.0,446.5,0.003321669089444,0
20.89,25.0,0.0,556.0,0.00381507006340074,0
20.525,22.29,0.0,452.0,0.00332326801517587,0
23.445,28.125,454.75,1059.5,0.00502449114747957,1
20.89,24.9175,429.0,725.0,0.003802403368789,1
20.6,22.2,0.0,449.333333333333,0.00332520581189891,0
20.7,24.5666666666667,0.0,474.333333333333,0.00370469114980285,0
21.1,23.29,0.0,523.2,0.0035990534631735295,0
20.89,25.1,0.0,563.25,0.0038304243200990603,0
20.7,24.6,0.0,478.5,0.00370974784825709,0
20.456,22.414,0.0,439.2,0.0033275794687666603,0
21.2,23.7,0.0,561.4,0.0036854760818385295,0
20.7,24.5,0.0,464.8,0.0036945779980858896,0
21.254,23.85,0.0,587.2,0.0037213245372262798,0
20.7,24.6,0.0,466.0,0.00370974784825709,0
21.025,23.29,0.0,516.5,0.0035824122377097205,0
21.6,27.525,474.0,1040.25,0.00439144685621549,1
20.7,24.865,0.0,485.75,0.00374995150889035,0
21.5,28.2,0.0,852.25,0.00447226142648379,0
20.7,24.5,0.0,461.333333333333,0.0036945779980858896,0
20.7,24.963333333333303,0.0,493.0,0.00376487116263545,0
20.89,25.4725,0.0,570.75,0.0038876255573053703,0
20.477999999999998,22.392,0.0,432.6,0.00332883709371958,0
20.5,22.39,0.0,438.666666666667,0.00333308443071495,0
21.0,25.956,0.0,600.5,0.00398895057376564,0
20.89,24.926666666666698,0.0,553.666666666667,0.0038038107539800897,0
22.7,26.7,654.2,1020.4,0.00455630013842985,1
20.6666666666667,24.39,419.0,584.666666666667,0.00367030103838176,1
21.175,23.7,0.0,565.333333333333,0.0036797916635987102,0
22.7,31.3785714285714,433.0,1398.0,0.00536157076033165,1
22.7,31.1,433.0,1361.75,0.0053135653993026,1
22.64,25.695999999999998,429.0,904.4,0.00436771760822153,1
20.6,22.254,0.0,453.2,0.0033333374962797,0
21.5,28.29,0.0,863.5,0.00448663755713656,0
20.5,22.29,0.0,441.25,0.0033181185303638398,0
23.1166666666667,28.945,444.0,1160.0,0.0050698094671644605,1
20.7,22.33,0.0,454.6,0.00336557331950829,0
22.2,27.9175,555.0,1170.75,0.00462192951071389,1
20.7225,22.6,0.0,461.75,0.00341124151659625,0
20.39,22.5,0.0,438.0,0.00332675846769344,0
23.2,25.6,176.0,933.2,0.0045024926667472705,0
23.02,27.555999999999997,435.0,1042.6,0.00479628399598345,1
20.39,23.2,412.2,473.0,0.00343082850079598,1
23.2,28.7,456.5,1144.0,0.00505214492389298,1
20.39,23.7,399.5,518.0,0.0035051854492393697,1
20.7,22.34,0.0,453.0,0.0033670886765457,0
21.0,26.1,0.0,608.8,0.00401122338910984,0
20.39,22.5,0.0,435.8,0.00332675846769344,0
20.525,22.2675,0.0,452.666666666667,0.00331989553287361,0
22.912,28.1,429.0,1088.2,0.00485958290505565,1
20.5,24.075,0.0,466.75,0.00358536762662013,0
21.2,27.4725,0.0,750.0,0.00427615298595305,0
20.5,22.29,0.0,438.25,0.0033181185303638398,0
20.39,22.5,0.0,439.75,0.00332675846769344,0
20.5,22.39,0.0,434.0,0.00333308443071495,0
21.6,28.5,0.0,905.333333333333,0.00454813963399493,0
21.02,23.29,0.0,514.2,0.00358130523727,0
21.2225,25.34,475.75,774.75,0.00394760269427452,1
20.6,24.2,0.0,466.2,0.00362652051049971,0
22.873333333333303,27.6,429.0,1056.4,0.0047611982687734205,1
20.5,22.356666666666698,0.0,436.666666666667,0.00332809571766905,0
20.39,22.5,0.0,436.666666666667,0.00332675846769344,0
20.31,23.2,416.2,466.0,0.00341382178221691,0
23.33,26.956,538.0,993.6,0.00478048254400917,1
20.89,25.29,0.0,566.75,0.0038595994836159,0
21.89,28.445,513.0,1193.5,0.0046210728995467,1
20.7,24.6333333333333,0.0,475.333333333333,0.00371480462844446,0
22.79,27.02,432.0,1002.6,0.00463674005674535,1
24.408333333333303,25.681666666666697,798.0,1124.0,0.00486020770362199,1
20.39,22.5,0.0,439.666666666667,0.00332675846769344,0
20.7,24.6,0.0,479.75,0.00370974784825709,0
22.7,31.1,433.0,1354.66666666667,0.0053135653993026,1
23.06,27.772,444.0,1089.2,0.00484597890696344,1
20.7,22.5,0.0,459.75,0.00339133538795165,0
20.39,22.5,0.0,434.0,0.00332675846769344,0
20.625,24.4175,0.0,457.5,0.0036649836944551897,0
23.0,30.23,462.333333333333,1285.16666666667,0.0052592253070464605,1
22.456,24.83,419.0,807.8,0.004172308180643121,0
23.0,28.0816666666667,429.0,1059.6,0.004882537915140921,1
20.6,24.175,407.5,522.25,0.0036227522845972,0
20.5,22.365,0.0,442.25,0.00332934288846831,0
20.477999999999998,22.478,0.0,429.8,0.00334169070337164,0
22.2,27.823333333333302,555.0,1160.83333333333,0.00460622413573017,1
20.39,22.5,0.0,435.75,0.00332675846769344,0
20.5,22.34,0.0,442.75,0.00332560139099478,0
21.6,24.2,0.0,654.8,0.0038576731827532,0
20.89,24.89,429.0,716.166666666667,0.0037981812511967204,1
20.5,24.39,405.0,561.5,0.0036325529465421795,1
22.79,31.05,444.0,1373.33333333333,0.00533423498598668,1
20.89,23.26,0.0,499.333333333333,0.0035480265511301603,0
20.7,24.6333333333333,0.0,477.333333333333,0.00371480462844446,0
22.29,27.37,560.6,1064.2,0.0045557027728697795,1
21.29,25.6725,527.25,800.75,0.00401643856518858,1
21.55,24.2,0.0,648.25,0.0038458144762779202,0
20.2675,22.675,0.0,437.0,0.0033273563825288,0
20.89,25.025,0.0,555.25,0.0038189085569427703,0
20.89,24.823333333333302,435.0,715.833333333333,0.00378794605106893,1
21.29,27.79,0.0,795.0,0.00435003631085442,0
22.7,31.15,433.0,1357.5,0.00532218120516758,1
22.7,31.275,433.0,1373.33333333333,0.00534372175528233,1
21.7,28.1,484.0,1101.66666666667,0.00451155341017895,1
20.79,24.9975,419.0,611.25,0.00379113852810034,1
22.1,26.1,596.0,936.5,0.00429252572916348,1
23.29,25.89,173.2,993.4,0.00457888337102673,0
20.6,24.2,0.0,466.25,0.00362652051049971,0
22.79,31.0833333333333,444.0,1369.0,0.0053400106495396,1
21.5,24.1,0.0,620.666666666667,0.0038180477340365795,0
20.89,22.89,0.0,480.25,0.00349127081729973,0
20.39,22.5,0.0,432.5,0.00332675846769344,0
20.6,24.365,0.0,463.5,0.00365139193996433,0
21.2,27.54,0.0,747.8,0.00428673191371534,0
20.6,22.2,0.0,455.25,0.00332520581189891,0
20.533333333333303,22.26,0.0,453.666666666667,0.00332048710193108,0
20.575,22.125,0.0,442.0,0.0033087802127036,0
20.775,24.79,433.0,652.666666666667,0.0037559872272880297,1
20.7,24.39,419.0,600.5,0.0036778920124497703,1
20.5666666666667,22.2,0.0,445.0,0.0033183413387629103,0
20.7,24.6,0.0,477.5,0.00370974784825709,0
20.87,25.58,0.0,577.2,0.00389930405186146,0
20.5,22.29,0.0,439.8,0.0033181185303638398,0
20.79,25.0,0.0,518.6,0.00379151999106046,0
20.5,22.29,0.0,441.166666666667,0.0033181185303638398,0
20.865,25.365,433.0,656.75,0.00386512996367583,1
20.856666666666698,25.463333333333303,0.0,573.333333333333,0.0038782059111170295,0
23.79,26.125,740.5,1122.5,0.0047632311174623,1
21.815,29.0,0.0,992.0,0.0046902256978545,0
20.79,25.0,0.0,526.0,0.00379151999106046,0
22.7,31.4175,433.0,1398.25,0.0053682797869201,1
21.5,24.15,0.0,635.75,0.0038260177197901204,0
21.0,26.29,0.0,624.5,0.0040406135569536605,0
20.79,24.79,433.0,679.2,0.00375947872351275,1
20.39,22.7,0.0,431.75,0.00335648922862046,0
21.4175,27.9175,0.0,824.5,0.0044046675624544,0
23.2675,25.865,193.0,994.25,0.00456817106525555,0
20.7,24.6,0.0,475.8,0.00370974784825709,0
21.0,24.912,444.0,742.4,0.0038275200483029,1
22.7,31.236,433.0,1384.8,0.0053370009448791295,1
20.5,22.478,0.0,430.8,0.00334625501561398,0
21.79,28.125,499.0,1123.5,0.00454068479971385,1
20.7,25.1,0.0,493.333333333333,0.00378560813415773,0
20.7,25.0,0.0,490.25,0.0037704346054599296,0
23.2,29.356666666666698,464.0,1203.25,0.00516870044928234,1
20.39,22.5,0.0,432.4,0.00332675846769344,0
21.2,26.89,0.0,690.5,0.00418487560482166,0
22.7,26.754,432.0,976.2,0.00456558276701595,1
20.865,22.7675,0.0,474.0,0.00346711546963321,0
21.0,25.2,451.6,711.0,0.00387204429039337,1
21.6833333333333,27.84,474.0,1054.8,0.00446492460265262,1
23.29,25.89,561.0,912.0,0.00457888337102673,1
20.865,24.9175,0.0,547.75,0.0037965234997134204,0
20.89,22.79,0.0,475.75,0.0034759331976165,0
22.445,30.1,0.0,1189.25,0.0050616503992384106,0
22.0,26.12,578.8,939.0,0.00426954476696138,1
20.39,22.5,0.0,438.0,0.00332675846769344,0
20.7,24.533333333333303,0.0,468.333333333333,0.00369963453307978,0
22.7,31.29,433.0,1392.5,0.00534630672070471,1
20.463333333333303,22.393333333333302,0.0,445.666666666667,0.00332600811615316,0
20.7,22.5,0.0,456.25,0.00339133538795165,0
20.79,24.89,0.0,537.5,0.00377473606074636,0
20.89,23.0,0.0,490.0,0.00350814306776971,0
20.7675,22.5,0.0,460.25,0.00340554200808737,0
22.26,24.856666666666698,0.0,769.333333333333,0.00412698756337495,0
20.89,25.34,429.0,694.25,0.0038672776103409897,1
21.033333333333303,26.323333333333302,0.0,628.666666666667,0.00405412106853874,0
23.89,26.39,755.5,1166.0,0.004841174852605171,1
20.89,24.9175,0.0,558.25,0.003802403368789,0
22.89,30.79,454.0,1367.0,0.00532161636332885,1
20.7,24.79,0.0,486.333333333333,0.0037385725901998897,0
21.5,24.125,0.0,627.5,0.00382203270153845,0
20.7,25.0,0.0,494.2,0.0037704346054599296,0
20.6,22.2,0.0,443.666666666667,0.00332520581189891,0
20.29,22.625,0.0,440.5,0.00332462532631483,0
20.39,22.445,0.0,431.5,0.0033185830040274302,0
20.5,22.315,0.0,427.5,0.00332185993829356,0
23.304285714285697,28.0142857142857,503.71428571428595,1099.14285714286,0.004961890438102121,1
20.89,25.6,0.0,577.25,0.00390720690639245,0
23.14,28.79,451.6,1159.6,0.00504961840975861,1
21.08,26.478,0.0,640.4,0.00408988460864459,0
20.79,22.65,0.0,471.25,0.00343314993421406,0
20.89,25.5,0.0,573.6,0.0038918488819086397,0
20.29,23.0,419.0,453.0,0.00338002905736888,0
20.6,24.39,0.0,465.0,0.00365516051087822,0
20.29,22.7,0.0,439.5,0.00333570528717845,0
21.89,26.315,563.0,931.75,0.00427266374639605,1
22.29,27.356666666666698,559.666666666667,1060.33333333333,0.00455346720904263,1
22.356666666666698,30.1,0.0,1160.66666666667,0.0050343149090972,0
20.89,22.79,0.0,475.6,0.0034759331976165,0
21.1,23.39,0.0,523.0,0.00361459647930365,0
20.7,24.754,0.0,483.0,0.0037331108562227103,0
22.7,31.1,433.0,1355.75,0.0053135653993026,1
20.6,24.02,0.0,467.8,0.0035993902971351703,0
20.236,22.83,0.0,431.4,0.00334367068060774,0
20.7,24.6333333333333,0.0,484.0,0.00371480462844446,0
20.83,24.83,439.8,697.6,0.00377492144644985,1
23.29,28.5,467.75,1112.0,0.00504422920396206,1
21.29,27.7675,0.0,778.0,0.00434648971978134,0
23.2,25.5,696.8,1003.8,0.00448477799181549,1
21.7,28.865,0.0,958.75,0.00463529214876545,0
20.718000000000004,22.5,0.0,463.0,0.00339511870555902,0
21.1,23.5,0.0,533.333333333333,0.00363169468911561,0
20.6,22.1,0.0,444.5,0.0033101476955541,0
23.29,27.0,538.4,999.6,0.0047767046348402,1
20.5,22.434,0.0,434.6,0.0033396696538164302,0
20.29,22.7,0.0,434.75,0.00333570528717845,0
20.26,22.79,0.0,436.333333333333,0.00334276383108678,0
20.89,22.89,0.0,481.0,0.00349127081729973,0
20.52,24.1,0.0,461.4,0.0035935695959445203,0
21.29,27.79,0.0,781.0,0.00435003631085442,0
22.89,30.89,469.0,1386.4,0.00533904830684845,1
20.575,24.075,0.0,463.25,0.00360209033999183,0
23.215,28.6333333333333,462.333333333333,1127.83333333333,0.00504492264821108,1
20.79,24.89,0.0,538.0,0.00377473606074636,0
20.89,25.7,0.0,578.5,0.0039225656845997894,0
21.34,23.9725,0.0,604.5,0.0037604533217008,0
20.6,24.39,0.0,461.333333333333,0.00365516051087822,0
20.6,22.2,0.0,445.0,0.00332520581189891,0
21.0,23.29,0.0,509.333333333333,0.0035768802490343797,0
20.83,24.87,0.0,547.0,0.0037810396399206104,0
21.89,28.1833333333333,495.666666666667,1146.0,0.00457825057734741,1
23.0,27.956,429.0,1064.6,0.0048605176079969895,1
22.7,30.89,433.0,1306.33333333333,0.0052773815988853105,1
21.0,26.125,0.0,611.333333333333,0.00401509035879788,0
20.5,22.29,0.0,439.75,0.0033181185303638398,0
23.6,27.7225,483.5,1019.0,0.0049988794929492295,1
21.2,27.29,0.0,725.4,0.0042475524890909205,0
20.55,23.945,415.5,493.25,0.0035769763986099705,1
20.55,22.29,0.0,451.0,0.00332842453898209,0
21.39,27.79,0.0,806.666666666667,0.00437697549281461,0
21.7,28.1,495.25,1088.0,0.00451155341017895,1
21.1,23.5,0.0,524.5,0.00363169468911561,0
20.2675,22.7,0.0,434.5,0.00333104455852738,0
22.7,30.7,433.0,1299.66666666667,0.00524464747133036,1
20.6,24.39,0.0,469.75,0.00365516051087822,0
20.89,25.39,0.0,575.0,0.0038749559254609,0
23.2,26.0,650.0,998.5,0.00457336138571879,1
22.6,25.4725,1419.5,945.0,0.004318889953881071,1
22.7,31.29,447.0,1401.0,0.00534630672070471,1
21.365,27.89,0.0,808.0,0.00438606372384652,0
21.5,28.1,0.0,845.0,0.004456288721782479,0
20.39,22.39,0.0,429.75,0.00331040775412912,0
20.79,25.0,0.0,528.25,0.00379151999106046,0
20.62,24.412,0.0,467.6,0.00366301739748915,0
20.89,25.29,0.0,561.333333333333,0.0038595994836159,0
23.254,25.68,609.0,884.5,0.0045315347398536395,1
21.6,28.478,0.0,898.2,0.00454460313760389,0
23.29,28.66,459.0,1120.0,0.00507277863768927,1
20.5,22.29,0.0,445.333333333333,0.0033181185303638398,0
20.978,25.83,0.0,594.2,0.003964064233298479,0
20.65,22.245,0.0,449.25,0.00334232350934395,0
21.6,27.5,479.0,1032.25,0.00438743012323847,1
20.6,24.1,0.0,466.25,0.00361144787924265,0
20.64,24.434,0.0,462.2,0.0036708875707830795,0
20.39,22.5,0.0,440.666666666667,0.00332675846769344,0
20.7,22.29,0.0,454.0,0.0033595119647966,0
20.533333333333303,22.2,0.0,443.666666666667,0.0033114893521495603,0
20.6,24.05,0.0,463.25,0.00360391183595888,0
20.89,23.1,0.0,492.5,0.0035234822671828397,0
20.29,22.79,0.0,438.5,0.00334900175851823,0
22.2,27.7,544.25,1147.5,0.00458565545482424,1
20.525,22.29,0.0,443.75,0.00332326801517587,0
20.89,25.7225,0.0,584.5,0.00392602151357463,0
21.39,23.9725,0.0,596.5,0.0037720659972821204,0
20.963333333333303,25.7,0.0,583.333333333333,0.00394040960056339,0
23.7,26.7,469.0,845.333333333333,0.004842380755335629,1
20.29,22.7,0.0,436.0,0.00333570528717845,0
20.39,22.5,0.0,431.5,0.00332675846769344,0
23.1,26.0,655.0,994.0,0.004545591882176779,1
20.323333333333302,22.7,0.0,438.0,0.0033426206322112197,0
21.978,24.6,0.0,714.0,0.0040140562223397,0
20.52,24.1,0.0,469.8,0.0035935695959445203,0
20.736,24.39,419.0,601.4,0.0036861058054682,1
21.29,27.79,0.0,785.0,0.00435003631085442,0
20.79,24.926666666666698,0.0,538.666666666667,0.0037803306041500704,0
20.89,23.1,0.0,494.25,0.0035234822671828397,0
20.7,24.7,0.0,482.8,0.0037249184340265797,0
20.89,25.29,0.0,561.0,0.0038595994836159,0
21.0,26.2,0.0,616.4,0.0040266915545098605,0
20.7,24.5,0.0,472.333333333333,0.0036945779980858896,0
20.5,22.29,0.0,439.333333333333,0.0033181185303638398,0
23.5,28.025,444.25,1055.0,0.00502325200960961,1
23.1,27.925,444.0,1140.25,0.0048847835460129,1
20.34,22.7225,0.0,439.75,0.0033494175010543603,0
22.823333333333302,25.393333333333302,683.0,961.666666666667,0.00436451500523488,1
21.5,28.23,0.0,859.666666666667,0.00447705339672475,0
20.79,22.6,0.0,469.25,0.0034255294987624602,0
22.79,25.456,679.4,954.6,0.00436646730195512,1
23.525,28.0,454.0,1055.5,0.00502636675819462,1
20.73,25.1,0.0,513.0,0.0037926534895490202,0
20.39,22.5,0.0,436.25,0.00332675846769344,0
20.39,22.5,0.0,440.75,0.00332675846769344,0
20.89,22.76,0.0,475.333333333333,0.0034713320583865197,0
20.7,25.1,0.0,487.75,0.00378560813415773,0
20.29,22.65,0.0,431.0,0.00332831860297592,0
23.6,27.54,512.0,992.6,0.00496570864699156,1
20.79,24.7,421.8,642.4,0.00374574775610345,1
20.7,22.365,0.0,449.25,0.00337087710126894,0
22.6,25.042857142857102,433.0,845.333333333333,0.00424554631910682,1
20.525,22.245,0.0,446.75,0.0033165230869479896,0
20.29,22.6,0.0,435.5,0.00332093209327951,0
20.6,24.08,0.0,459.4,0.00360843344014219,0
23.33,27.874000000000002,528.0,1075.6,0.00494457844645588,1
21.1,26.6,0.0,663.5,0.0041139379302597605,0
20.477999999999998,22.37,0.0,435.6,0.00332554904589295,0
22.56,24.912,433.0,819.8,0.00421289593420237,1
20.7,22.29,0.0,455.75,0.0033595119647966,0
21.39,23.945,0.0,603.5,0.00376771266902404,0
20.865,24.8925,0.0,545.5,0.00379269117997465,0
23.29,26.16,561.0,911.166666666667,0.00462699056302192,1
22.39,27.14,579.2,1045.2,0.00454490827913193,1
22.89,30.79,454.0,1363.16666666667,0.00532161636332885,1
20.7225,22.6,0.0,464.75,0.00341124151659625,0
22.1,29.79,0.0,1105.5,0.0049041849823736,0
21.34,27.79,0.0,802.0,0.00436348755838157,0
20.4725,22.3925,0.0,438.25,0.00332777598530706,0
20.6,24.2,0.0,465.75,0.00362652051049971,0
20.5,24.323333333333302,407.0,555.166666666667,0.0036225660416438,1
20.5,24.1,0.0,468.5,0.00358911223325629,0
20.5,22.315,0.0,437.0,0.00332185993829356,0
20.7,24.5,0.0,468.25,0.0036945779980858896,0
21.033333333333303,23.29,0.0,517.666666666667,0.00358425790846352,0
21.29,25.4725,480.25,778.0,0.00398494828914425,1
20.356666666666698,22.6,0.0,439.0,0.0033347137758515,0
22.7675,31.0,433.0,1335.75,0.0053182490601398,1
20.856666666666698,25.356666666666698,0.0,567.333333333333,0.0038618591230004102,0
20.89,25.2675,0.0,564.5,0.00385614438805157,0
23.1,29.7,466.5,1224.66666666667,0.005197870297131171,1
21.0,26.0,0.0,614.75,0.00399575598808051,0
20.7,25.0,0.0,494.75,0.0037704346054599296,0
22.7,26.6833333333333,656.166666666667,1023.6666666666699,0.004553435185152529,1
23.1,29.84,469.0,1239.5,0.0052225777697639895,1
20.79,22.6,0.0,467.25,0.0034255294987624602,0
20.7,22.315,0.0,456.666666666667,0.00336330029772187,0
22.6,24.9175,433.0,818.0,0.00422415004171152,1
21.675,28.7675,0.0,941.0,0.00461241048602348,0
20.55,22.29,0.0,448.0,0.00332842453898209,0
22.1,24.7,0.0,727.0,0.00406077210033269,0
20.29,22.79,0.0,435.666666666667,0.00334900175851823,0
22.79,31.2,441.0,1379.5,0.00536022630950282,1
20.6,24.39,0.0,465.25,0.00365516051087822,0
20.823333333333302,22.73,0.0,470.666666666667,0.00345245938689913,0
20.89,22.89,0.0,478.5,0.00349127081729973,0
21.2,26.79,0.0,684.333333333333,0.00416920834398832,0
21.2,27.025,0.0,707.25,0.00420602765063266,0
21.926666666666698,24.5,0.0,706.666666666667,0.00398505157493118,0
22.625,25.55,442.5,889.25,0.00433874780423475,1
20.7225,22.365,0.0,456.25,0.0033755781428893698,0
22.963333333333303,30.39,469.0,1327.5,0.0052754745659686,1
22.745,31.15,447.0,1366.33333333333,0.00533685389183532,1
20.6,24.39,0.0,463.2,0.00365516051087822,0
20.84,24.92,0.0,542.0,0.0037910342862335295,0
20.89,25.0,0.0,558.0,0.00381507006340074,0
20.7,24.5,0.0,469.25,0.0036945779980858896,0
20.7,24.79,405.0,587.25,0.0037385725901998897,1
23.0,30.15,469.0,1284.5,0.00524519004352148,1
22.1,28.39,547.5,1200.5,0.00467197853896129,1
20.7,25.1,0.0,492.75,0.00378560813415773,0
