input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,class
38,100,20,61,26,20,65,0,100,27,92,67,48,85,0,79,0
23,73,60,100,54,76,40,34,22,0,0,15,50,14,100,14,1
0,88,37,100,85,90,63,46,48,0,27,18,45,37,100,38,7
0,96,21,97,79,100,100,98,67,76,48,50,33,23,31,0,7
66,100,50,86,21,56,0,26,26,0,100,16,53,33,15,7,6
11,100,0,68,22,14,66,0,100,35,78,88,34,100,13,51,0
64,89,100,100,47,87,7,64,25,53,74,43,51,14,0,0,5
32,88,21,100,66,94,45,65,69,54,100,29,64,3,0,0,3
42,90,24,55,80,48,51,10,0,0,9,48,43,85,100,100,5
28,77,62,100,100,85,67,58,96,40,92,9,41,0,0,18,3
0,90,22,62,79,45,56,0,22,40,4,93,25,99,100,100,5
8,100,0,77,0,55,29,38,71,55,71,42,71,20,100,0,4
26,80,58,100,63,61,38,26,0,6,22,18,61,0,100,18,2
49,100,24,82,0,54,20,37,82,40,82,54,80,25,100,0,4
40,88,100,100,38,91,0,64,41,52,96,38,62,11,0,0,5
70,75,92,40,84,0,0,0,35,38,100,71,90,100,13,84,8
35,80,73,100,95,84,55,62,100,44,97,14,49,0,0,9,3
56,100,46,99,14,66,0,31,36,0,100,9,58,24,32,2,6
21,75,40,100,85,94,67,63,100,43,95,11,47,0,0,13,3
36,81,36,70,80,36,52,0,0,22,29,63,35,94,100,100,5
0,0,42,11,83,34,100,68,77,100,29,99,41,69,90,61,9
30,68,63,99,76,100,65,60,44,23,0,0,46,2,100,10,1
85,100,30,84,5,54,0,22,48,0,100,21,66,47,0,37,6
88,99,18,100,0,69,75,81,100,95,86,62,73,30,76,0,9
26,100,11,78,0,51,16,28,59,36,100,51,85,26,69,0,4
26,74,54,100,70,70,49,37,18,7,0,7,49,15,100,0,2
21,100,9,96,0,68,39,51,100,59,99,57,91,29,89,0,4
5,32,36,54,71,75,100,100,71,78,43,53,17,27,0,0,1
0,64,24,78,100,100,76,96,41,72,12,47,6,23,35,0,1
86,53,90,92,36,100,0,62,0,16,52,0,100,27,100,66,0
94,100,52,78,24,50,13,21,47,0,100,15,53,30,0,18,6
60,86,55,71,0,71,42,97,100,100,96,64,62,31,38,0,9
55,89,85,100,100,81,78,60,69,35,64,9,33,0,0,3,3
10,81,44,100,57,74,32,42,0,16,16,5,58,4,100,0,2
12,93,48,62,95,96,21,100,46,70,100,64,77,7,0,0,9
100,77,64,61,9,74,54,100,100,85,91,51,59,19,0,0,9
27,76,62,100,84,76,66,41,37,11,0,3,50,1,100,0,2
32,86,49,100,100,96,73,72,67,48,89,22,52,2,0,0,3
69,65,10,59,0,88,54,100,100,80,94,49,61,22,14,0,9
27,75,64,100,100,99,79,70,45,44,6,20,0,0,64,6,2
0,53,30,82,62,100,52,61,50,21,20,3,45,0,100,3,1
34,87,70,100,100,92,83,67,73,40,77,14,41,1,0,0,3
0,79,25,100,49,80,27,48,0,19,24,1,62,0,100,2,2
30,100,15,76,0,48,55,39,96,56,100,55,76,28,58,0,4
41,100,9,70,0,30,33,0,88,15,100,54,79,92,28,88,0
26,86,20,43,37,0,87,12,100,56,74,95,22,100,0,60,0
51,80,71,100,100,86,79,64,53,44,62,19,41,0,0,1,3
6,97,63,100,95,79,48,60,67,52,100,28,56,8,0,0,3
86,100,38,93,7,62,1,28,41,0,100,12,54,28,0,7,6
41,85,77,100,92,73,66,49,100,31,78,5,37,0,0,15,3
0,91,42,100,71,75,59,37,51,0,27,34,50,54,100,56,7
0,89,45,100,77,80,72,45,70,10,59,0,48,24,100,28,7
100,100,56,95,78,84,95,83,97,54,89,26,49,8,0,0,9
0,41,40,58,74,80,100,100,88,75,75,50,65,25,65,0,1
0,95,25,72,100,84,30,100,23,81,100,66,78,30,33,0,9
81,100,50,79,23,52,17,22,70,15,100,31,44,19,0,0,6
100,74,51,73,0,79,23,100,72,95,100,66,100,32,85,0,9
44,93,0,100,32,60,85,27,61,0,41,36,100,65,72,88,8
8,98,25,100,29,64,21,29,0,2,33,2,67,3,100,0,2
20,85,3,55,0,17,38,0,79,23,100,58,83,92,35,100,0
31,96,18,51,27,100,26,67,40,17,0,0,44,6,100,7,1
17,83,57,100,87,83,61,58,27,36,0,13,51,8,100,0,2
3,76,30,100,91,98,81,65,80,45,100,22,52,0,0,12,3
48,84,38,41,20,0,0,14,37,51,89,81,100,100,36,84,8
22,100,52,98,58,62,32,33,0,13,27,9,63,5,100,0,2
60,100,32,69,0,37,42,29,100,29,85,51,68,38,60,0,4
70,100,2,50,15,1,100,36,70,79,36,56,67,51,0,0,0
34,78,39,53,100,24,49,0,44,35,77,70,76,100,0,80,8
29,100,24,75,0,48,27,33,89,37,87,51,89,22,100,0,4
0,63,16,90,100,100,90,73,53,40,22,6,11,0,48,18,7
36,100,2,70,0,43,53,42,100,43,68,70,45,35,22,0,4
100,100,74,96,45,68,28,35,32,0,63,12,38,37,0,31,6
10,86,51,100,84,78,53,48,85,40,100,14,52,0,0,0,3
18,74,29,100,100,88,73,47,31,9,0,0,14,29,96,34,7
50,90,0,89,62,47,88,0,5,4,42,51,100,95,11,100,8
37,82,57,100,53,65,30,36,0,16,30,0,66,2,100,19,2
12,97,0,100,58,98,100,84,93,62,71,41,46,21,32,0,7
0,57,50,74,82,97,100,100,89,75,75,50,64,25,61,0,1
13,94,0,51,55,45,34,0,0,16,0,71,39,98,100,100,5
0,70,19,100,65,79,59,40,12,17,3,15,59,6,100,0,2
40,71,60,100,100,85,78,46,37,20,0,4,49,3,99,0,2
8,72,0,36,26,0,74,3,100,40,85,83,43,100,14,66,0
22,88,15,37,37,0,77,12,100,51,77,92,37,100,0,78,0
100,84,63,100,39,67,86,70,93,71,85,33,58,0,0,2,9
0,67,43,74,78,91,100,100,95,74,87,49,84,23,96,0,1
0,79,40,100,78,73,61,35,31,0,30,22,31,45,100,45,7
51,85,83,100,100,90,81,66,73,40,73,16,39,2,0,0,3
0,80,25,100,61,89,51,57,28,28,0,2,50,0,100,1,2
0,34,55,65,89,100,82,58,82,17,39,1,9,0,100,1,1
40,99,51,66,79,26,39,0,0,27,8,77,46,100,100,94,5
89,83,58,100,32,68,77,64,100,74,88,29,48,4,0,0,9
3,71,38,100,45,92,42,56,38,20,0,1,32,0,100,3,1
51,91,23,71,52,35,13,0,0,30,5,81,43,100,100,95,5
100,93,34,100,0,73,64,71,87,94,74,62,64,31,62,0,9
33,73,66,88,100,100,79,80,58,60,36,41,16,20,0,0,1
0,93,52,100,94,87,80,63,53,42,23,20,42,3,100,0,2
0,100,51,85,100,74,63,37,26,0,15,12,38,31,100,37,7
0,97,90,100,81,71,52,36,37,0,16,13,7,42,100,43,7
20,100,7,84,0,50,65,50,100,67,84,68,77,34,72,0,4
89,75,77,100,0,83,38,56,100,81,91,50,74,12,2,0,9
54,70,54,100,93,96,75,58,42,24,0,0,44,12,100,11,2
19,80,45,100,49,64,29,27,0,0,25,8,63,14,100,21,2
19,60,33,88,100,100,93,70,51,48,98,27,63,0,0,0,3
18,95,6,63,16,11,65,0,100,40,84,90,31,100,0,57,0
6,100,18,89,14,54,0,21,54,21,99,38,92,34,100,0,4
0,84,41,100,86,75,33,52,54,45,100,19,51,0,2,13,3
86,85,47,64,0,76,34,100,78,88,81,58,81,28,100,0,9
36,73,12,51,25,0,76,15,100,62,63,100,15,75,0,25,0
0,82,38,100,71,79,40,51,59,41,100,20,64,0,9,5,3
13,79,31,100,73,82,59,45,17,19,0,23,53,17,100,0,2
44,100,58,57,100,88,40,95,63,62,77,60,67,10,0,0,9
86,100,0,95,32,56,100,22,30,0,5,36,80,68,52,99,8
44,100,8,62,0,14,50,0,99,31,100,78,45,90,11,49,0
62,57,100,81,75,100,23,85,0,58,55,50,90,32,84,0,9
48,84,55,58,85,83,34,100,67,65,100,28,59,0,0,0,9
80,100,31,87,78,45,87,0,0,2,33,45,100,83,36,79,8
0,59,46,83,62,100,57,64,55,27,25,0,36,3,100,1,1
100,98,60,100,29,73,10,41,6,6,46,0,46,27,0,30,6
71,95,25,88,0,43,15,0,64,11,100,50,87,95,38,100,0
89,100,48,76,18,46,8,12,55,0,100,14,51,23,0,12,6
10,66,30,100,39,90,45,54,41,17,0,0,43,4,100,3,1
63,99,25,77,0,35,22,0,73,17,100,58,79,100,33,91,0
20,65,43,94,76,100,58,64,44,27,0,1,18,4,100,0,1
0,73,46,84,87,100,100,92,86,69,76,46,69,22,67,0,1
0,66,9,89,55,100,100,92,79,68,50,46,30,22,47,0,7
30,71,43,100,44,90,38,37,56,0,100,10,42,6,0,5,1
0,51,37,61,71,79,100,100,97,80,87,53,76,25,71,0,1
41,77,70,100,100,78,67,50,76,38,93,11,44,0,0,5,3
0,56,5,14,47,0,86,25,100,66,76,100,34,80,6,45,0
67,89,25,100,33,75,51,94,85,64,100,23,56,0,0,10,9
0,81,16,59,74,39,65,0,8,6,4,50,33,88,100,100,5
77,94,31,100,52,86,92,96,94,62,100,28,71,0,0,0,9
100,98,54,100,13,83,11,49,53,55,73,27,46,0,0,5,5
46,78,59,42,51,0,0,6,47,39,100,69,90,100,21,94,8
100,100,43,95,56,56,59,17,0,0,17,34,65,65,72,95,8
32,53,41,90,100,100,94,60,56,25,0,0,30,9,99,11,2
15,76,5,33,34,0,89,9,100,50,79,91,29,100,0,64,0
7,55,45,74,86,100,100,96,71,68,41,39,14,9,0,0,1
41,82,77,98,100,100,59,90,28,69,54,42,39,13,0,0,5
29,87,92,100,94,98,34,81,36,45,100,37,64,7,0,0,5
32,74,87,95,100,100,84,73,79,46,66,18,0,0,3,0,1
11,80,37,100,83,89,50,65,100,54,97,24,54,4,0,0,3
0,72,29,100,71,82,74,43,57,5,23,0,45,28,100,35,7
100,64,98,100,51,78,52,39,48,0,0,4,31,38,95,57,8
13,100,0,62,12,21,53,0,94,19,100,60,75,96,32,97,0
100,100,21,86,45,47,86,11,3,0,0,33,65,65,99,96,8
53,100,33,77,0,55,19,35,87,41,100,46,65,24,47,0,4
93,100,53,92,60,49,56,8,0,0,11,35,62,57,100,84,8
67,100,24,79,0,51,0,20,43,0,100,6,88,28,29,30,6
14,77,34,100,52,74,30,41,0,13,25,5,66,0,100,23,2
25,98,7,67,95,78,36,100,0,79,100,71,76,33,14,0,9
96,74,47,54,0,72,25,100,82,89,100,57,84,25,41,0,9
0,75,32,100,80,99,66,69,68,44,100,20,60,0,6,1,3
14,88,62,100,97,86,70,62,34,42,0,20,45,6,100,0,2
26,93,0,54,16,2,62,0,100,34,85,86,40,100,6,65,0
4,54,55,75,97,98,100,100,69,75,40,50,13,25,0,0,1
24,88,0,46,54,45,20,0,24,55,38,95,51,94,100,100,5
18,61,51,37,44,0,0,13,33,48,84,79,100,100,35,75,8
0,62,42,79,79,100,100,98,85,73,69,48,52,23,27,0,1
38,100,6,73,0,41,71,37,100,67,80,63,49,32,21,0,4
23,74,42,38,51,0,0,7,26,42,81,69,100,97,25,100,8
0,29,21,0,63,25,100,59,100,100,52,86,13,55,2,12,0
12,67,42,36,57,4,12,0,0,38,12,73,55,87,100,100,5
100,77,98,100,41,83,5,55,0,23,42,0,66,24,11,35,6
15,82,55,100,94,82,67,45,28,17,0,6,51,13,100,0,2
77,69,97,100,28,80,53,38,78,0,0,7,30,43,100,69,8
45,86,32,66,93,87,12,100,80,79,100,46,88,13,0,0,9
66,100,35,69,23,33,43,0,98,1,100,32,43,37,0,18,6
13,52,35,92,40,100,43,57,45,13,0,0,51,1,100,0,1
0,44,41,62,78,85,100,100,87,75,70,50,55,25,41,0,1
35,100,16,80,0,45,56,45,100,53,59,81,55,40,54,0,4
32,75,59,100,88,84,72,54,100,38,89,10,39,0,0,19,3
57,70,81,100,72,71,60,35,50,0,0,4,49,6,100,9,1
0,95,3,97,69,100,100,100,52,80,23,55,16,26,34,0,7
7,100,40,89,37,48,21,9,0,0,3,40,48,58,100,65,7
41,100,11,70,0,26,33,0,76,17,100,55,88,97,43,91,0
64,86,79,100,100,87,73,63,93,41,83,13,43,0,0,5,3
39,86,78,61,100,100,33,85,83,74,83,54,75,6,0,0,9
82,73,61,100,0,80,35,55,100,77,99,61,87,23,98,0,9
9,100,9,77,0,46,2,22,81,29,100,35,56,31,59,0,4
82,100,51,89,0,62,23,43,100,43,99,66,70,33,47,0,4
32,66,87,42,73,0,0,7,37,43,100,72,92,100,30,76,8
6,79,49,100,100,97,79,67,40,43,0,18,32,1,91,0,2
0,93,35,100,84,100,100,81,85,61,70,40,55,20,52,0,7
22,84,41,100,49,69,26,40,0,11,21,0,60,6,100,12,2
100,100,49,88,20,56,7,19,46,0,95,17,51,22,0,7,6
100,100,54,92,39,76,29,61,18,46,7,30,4,15,0,0,1
42,100,41,78,18,51,0,23,60,24,94,41,89,27,100,0,4
0,100,73,99,100,83,83,51,67,20,43,0,2,27,70,28,7
0,34,16,54,51,77,89,100,86,75,73,50,70,24,100,0,1
80,95,0,84,43,48,100,16,58,0,37,36,75,73,82,100,8
0,77,42,100,75,79,34,53,60,47,100,25,57,4,6,0,3
100,100,55,91,21,65,0,34,17,3,66,0,69,25,19,25,6
0,73,43,100,44,95,38,62,37,29,16,0,22,2,100,3,1
8,69,58,95,62,100,54,61,44,23,0,0,29,3,100,8,1
93,93,44,100,26,73,53,51,100,46,86,12,38,0,0,13,5
21,91,59,100,62,66,34,36,0,11,19,13,59,0,100,9,2
27,94,55,57,61,18,15,0,0,28,5,70,46,93,100,100,5
18,82,46,100,69,73,46,42,9,16,0,1,50,3,100,0,2
12,83,50,100,85,67,63,23,16,0,0,18,52,18,100,1,2
17,78,30,100,55,80,31,50,0,23,4,0,52,1,100,5,2
9,96,13,59,76,45,60,0,3,12,0,63,24,100,100,100,5
13,79,35,100,58,77,37,41,0,12,4,13,55,0,100,12,2
5,100,45,90,41,45,36,0,3,14,0,39,49,48,100,55,7
39,88,47,100,82,81,59,54,24,32,0,7,48,0,100,1,2
85,100,68,99,19,70,0,33,27,0,100,8,87,42,19,59,6
80,94,33,100,47,57,96,85,87,92,100,44,76,0,0,19,9
79,89,100,100,41,96,0,74,53,66,95,51,74,24,39,0,9
37,100,10,92,0,56,79,50,100,71,74,86,56,42,47,0,4
41,93,32,64,32,23,0,0,0,32,51,56,100,82,58,100,8
20,91,25,67,54,32,19,0,0,32,0,80,49,92,100,100,5
36,70,68,100,67,89,57,49,36,13,0,0,50,5,100,8,1
92,75,51,67,51,98,94,100,100,63,84,28,49,0,0,2,9
40,100,0,86,7,63,100,63,68,90,46,80,52,39,40,0,4
92,69,36,74,0,87,52,100,98,86,100,56,79,28,58,0,9
0,100,39,100,52,67,50,32,41,0,21,32,55,43,100,45,7
4,61,26,97,38,100,28,60,16,21,0,2,49,2,100,0,1
100,100,89,85,74,71,59,57,41,43,24,29,9,14,0,0,1
62,98,22,72,0,29,28,0,77,15,100,57,86,100,37,97,0
0,67,47,91,78,100,64,59,49,18,2,0,37,4,100,5,1
55,40,100,64,92,100,48,81,45,40,55,0,0,4,11,38,8
77,100,28,90,0,50,15,10,72,0,100,33,48,45,21,11,6
29,100,11,85,0,65,3,45,46,39,83,39,84,19,100,0,4
34,98,58,68,75,100,10,96,67,67,100,36,50,0,0,22,9
63,100,21,81,0,51,7,19,56,0,100,17,54,33,0,19,6
46,90,41,60,99,87,54,100,89,98,100,58,67,20,0,0,9
9,100,1,82,0,48,66,46,100,77,81,58,59,23,48,0,4
63,100,23,87,0,67,28,51,85,54,100,41,77,21,60,0,4
25,72,0,36,21,0,65,6,99,35,100,80,62,100,25,81,0
42,63,100,85,54,100,42,62,62,22,0,0,0,27,73,51,8
23,84,28,57,71,22,0,0,6,33,69,66,100,100,2,90,8
20,87,60,100,69,75,50,52,100,44,96,18,51,1,0,0,3
0,82,10,99,54,99,98,100,100,80,78,55,62,28,57,0,7
5,75,0,46,16,5,67,0,100,34,92,75,47,100,6,77,0
31,87,20,59,92,56,73,15,0,0,6,44,25,90,100,100,5
0,92,27,100,77,97,70,70,37,46,12,20,49,2,100,0,2
49,90,81,100,96,69,74,38,24,20,0,32,58,21,100,0,2
26,77,49,100,100,94,76,67,73,43,94,16,51,0,0,13,3
69,100,31,77,8,53,0,27,27,3,92,0,100,20,39,12,6
38,95,53,100,19,80,0,59,61,65,100,89,75,47,49,0,4
100,100,46,82,13,54,0,23,38,0,99,11,68,35,1,30,6
33,100,14,97,0,80,9,61,39,48,74,36,92,18,100,0,4
19,92,58,100,100,100,94,79,73,55,69,25,40,5,0,0,3
10,71,44,100,67,76,52,37,24,4,0,5,49,9,100,0,2
0,85,21,100,66,98,83,77,90,53,100,30,75,10,35,0,3
5,39,0,61,55,84,100,100,73,75,55,50,45,25,59,0,1
76,67,75,100,0,77,49,40,83,0,5,12,36,52,100,87,8
17,74,2,33,25,0,75,22,100,59,96,99,40,100,0,71,0
62,57,100,85,52,100,0,76,39,64,79,57,52,24,5,0,9
0,76,24,100,65,97,61,63,40,31,6,5,51,2,100,0,2
0,88,43,100,78,81,78,43,79,5,60,0,50,24,100,31,7
8,90,4,58,66,36,44,0,2,19,0,63,25,99,100,100,5
0,88,31,100,65,90,62,68,45,48,38,26,62,9,100,0,2
18,84,6,71,67,37,38,0,0,27,51,64,100,100,17,79,8
100,94,63,100,30,71,8,39,6,6,57,0,54,19,0,10,6
0,45,53,36,62,0,7,6,52,38,100,70,71,100,11,84,8
38,100,14,74,0,46,39,35,93,35,100,53,86,27,70,0,4
87,96,62,81,99,100,66,92,99,61,100,26,55,2,0,0,9
64,100,38,67,2,38,0,28,62,32,100,53,88,34,79,0,4
0,32,29,55,63,78,100,100,90,75,88,50,84,25,80,0,1
5,65,2,25,41,0,89,11,100,54,70,92,23,100,0,64,0
5,70,34,100,85,83,56,52,75,43,100,12,41,0,0,20,3
88,100,25,87,61,58,92,89,89,63,100,23,47,0,0,23,9
81,100,42,70,0,41,32,36,100,38,98,51,78,34,72,0,4
36,96,29,73,71,46,47,0,0,7,15,60,41,99,100,100,5
81,85,34,100,40,66,60,30,26,0,0,22,47,51,100,78,8
16,75,41,100,52,64,32,27,0,0,21,9,62,2,100,14,2
20,79,58,100,80,76,46,50,0,33,4,21,50,5,100,0,2
36,100,8,70,0,27,28,0,68,10,96,44,100,84,61,86,0
25,100,11,86,0,60,51,57,100,71,92,51,72,26,57,0,4
100,100,52,80,20,52,6,20,45,0,99,12,59,30,0,25,6
30,100,10,85,0,66,0,48,27,34,65,28,96,18,100,0,4
49,89,71,59,98,23,38,0,18,33,60,67,100,100,0,94,8
35,84,63,100,92,81,65,54,32,30,0,6,48,1,100,0,2
0,87,55,100,100,81,74,41,49,0,20,10,32,32,99,35,7
36,70,53,99,100,100,88,68,85,43,91,13,47,0,0,12,3
12,76,47,100,100,98,97,72,52,54,74,30,52,5,0,0,3
43,89,15,49,22,0,72,3,100,46,83,92,30,100,0,66,0
63,77,95,100,92,63,64,28,26,2,0,0,50,4,100,7,2
33,86,9,65,75,71,72,25,3,0,0,46,12,93,100,100,5
3,100,0,81,3,55,33,34,84,36,100,50,86,25,97,0,4
0,100,50,93,100,93,91,64,74,31,54,0,18,23,66,29,7
58,96,100,100,63,90,37,61,61,54,66,24,36,0,0,11,5
85,52,85,98,0,79,65,39,100,0,9,13,62,56,100,100,8
44,83,18,61,60,35,35,0,0,15,26,56,51,90,100,100,5
0,46,49,68,72,100,68,88,64,55,55,22,9,1,100,0,1
24,99,77,100,95,70,44,51,73,47,100,18,55,0,0,8,3
90,100,52,82,22,54,0,24,24,0,82,5,100,23,42,22,6
0,72,49,84,98,100,100,80,93,60,88,39,76,20,59,0,1
34,84,9,64,0,25,41,0,88,27,100,67,68,100,12,85,0
71,100,29,69,0,32,24,0,76,18,100,56,85,95,31,98,0
0,87,56,98,100,100,84,80,67,60,56,40,51,20,44,0,1
0,42,21,66,33,91,64,100,70,74,73,49,73,23,100,0,1
65,67,72,100,1,75,32,37,61,0,0,4,32,44,100,74,8
0,96,47,95,100,100,71,73,52,37,41,0,26,20,52,33,7
24,82,62,100,76,71,52,40,13,16,0,13,52,13,100,0,2
100,100,62,86,35,55,22,19,55,0,85,27,47,48,0,40,6
17,100,0,75,1,49,67,46,100,61,88,54,89,27,94,0,4
75,100,26,84,0,42,13,0,69,7,100,46,84,89,33,85,0
56,100,17,71,0,31,28,0,80,16,100,56,80,93,28,89,0
32,100,12,77,0,48,53,38,100,55,94,57,81,28,65,0,4
35,100,0,74,1,45,68,36,100,58,88,54,79,24,72,0,4
0,25,35,48,64,75,97,100,100,88,81,59,61,29,43,0,1
63,89,100,100,85,96,39,88,43,64,70,32,40,0,0,9,5
31,74,71,100,74,79,62,35,44,0,0,4,50,4,100,7,1
0,68,16,97,56,100,62,66,43,33,23,2,61,0,100,0,2
0,64,56,81,100,100,96,85,80,64,68,42,44,21,36,0,1
45,99,9,100,0,75,36,56,100,63,98,49,80,25,82,0,4
85,100,44,87,11,54,0,16,50,0,100,20,68,46,8,41,6
12,77,36,90,44,100,37,63,46,27,100,21,47,8,0,0,1
32,100,0,58,5,7,60,0,100,38,85,85,27,86,5,42,0
46,79,37,60,59,22,0,0,19,35,78,64,100,97,29,100,8
0,8,35,30,68,61,95,92,100,100,81,67,62,34,47,0,1
21,100,1,76,0,47,65,41,100,58,83,61,75,30,75,0,4
0,88,29,100,65,86,62,40,52,0,35,43,61,53,100,52,7
72,85,40,100,61,68,100,90,85,87,88,54,63,16,0,0,9
0,94,52,100,100,96,93,52,85,8,62,0,36,24,91,30,7
11,78,0,56,53,41,46,0,3,10,4,70,46,100,100,94,5
21,100,14,74,0,41,35,25,100,28,98,49,61,32,48,0,4
38,100,4,85,0,53,58,46,100,52,88,64,78,32,73,0,4
50,100,19,86,0,71,11,55,43,42,80,31,100,16,89,0,4
100,100,51,96,18,67,0,35,12,4,79,0,94,25,32,24,6
0,93,54,100,80,69,70,35,66,0,28,27,19,47,100,52,7
100,100,85,97,65,65,49,33,46,0,86,10,47,24,0,19,6
100,98,53,100,18,70,0,32,21,0,66,17,47,47,18,24,6
0,39,47,63,88,87,100,100,76,75,53,50,29,25,29,0,1
83,100,14,75,0,42,97,44,100,67,64,81,60,40,58,0,4
0,91,59,100,85,94,54,53,37,7,21,0,34,35,100,42,7
68,84,0,100,2,65,97,35,100,0,11,16,52,58,74,98,8
40,100,11,87,0,57,11,29,66,40,100,58,82,29,78,0,4
41,69,71,100,67,71,54,31,41,1,0,0,50,1,100,3,1
92,100,45,88,19,53,20,14,69,0,100,31,48,37,0,13,6
38,100,1,75,0,29,36,0,80,14,100,56,79,97,37,94,0
38,100,28,70,0,41,36,40,100,38,87,61,89,28,93,0,4
0,31,35,50,69,75,100,100,91,79,69,52,49,26,34,0,1
13,68,27,100,56,86,34,44,0,9,0,0,50,0,100,8,2
0,85,42,97,30,75,23,21,72,0,100,47,87,100,36,99,0
11,85,44,59,47,21,7,0,0,38,5,75,50,92,100,100,5
78,100,0,92,22,75,100,89,90,80,62,53,38,27,32,0,9
1,88,0,54,59,31,36,0,11,28,4,68,28,97,100,100,5
35,75,55,100,86,85,66,55,100,36,87,7,37,0,0,22,3
33,75,46,100,78,86,57,56,100,40,96,11,46,0,0,13,3
25,100,75,99,78,57,63,13,42,0,0,29,47,41,100,36,7
0,75,28,92,64,100,93,91,93,62,100,35,78,13,46,0,3
81,100,6,97,38,62,100,30,58,0,0,22,42,61,96,96,8
11,81,60,100,100,89,69,55,31,24,0,0,7,39,64,43,7
20,69,35,100,68,82,59,44,30,12,0,0,50,6,100,6,2
26,93,70,100,75,55,44,17,0,0,6,24,54,24,100,12,2
15,100,0,68,39,37,19,0,1,45,6,89,53,97,100,99,5
0,51,37,81,47,100,37,66,33,32,4,3,18,0,100,3,1
15,76,23,100,81,95,78,62,43,35,0,10,38,0,100,3,2
0,76,49,100,100,82,58,41,28,0,82,15,28,51,34,88,8
13,71,30,100,60,79,40,42,6,13,0,9,51,11,100,0,2
0,12,50,48,84,87,24,100,29,65,100,35,84,0,9,11,8
23,93,0,70,15,100,70,99,100,93,87,60,76,27,65,0,7
21,71,0,33,22,0,72,10,100,44,93,84,47,100,1,82,0
45,75,22,99,70,100,100,80,62,50,88,23,48,0,0,8,3
